Date,PM25,PM10,NO2
01-01-2019 00:00,309.79,455.43,109.48
02-01-2019 00:00,339.24,468.76,114.94
03-01-2019 00:00,367.25,509.33,110.51
04-01-2019 00:00,222.16,345.14,99.7
05-01-2019 00:00,226.4,327.51,94.9
06-01-2019 00:00,145.27,189.86,90.62
07-01-2019 00:00,159.61,231.04,95.62
08-01-2019 00:00,149.16,218.27,94.07
09-01-2019 00:00,136.44,207.35,86.91
10-01-2019 00:00,176.6,270.7,89.73
11-01-2019 00:00,235.45,316.48,82.09
12-01-2019 00:00,342.6,479.06,111.85
13-01-2019 00:00,240.5,347.06,89.9
14-01-2019 00:00,89.84,143.23,72.85
15-01-2019 00:00,160.09,238.34,79.32
16-01-2019 00:00,291.09,419.15,88.57
17-01-2019 00:00,306.52,421.73,95.25
18-01-2019 00:00,164.48,325.82,85.47
19-01-2019 00:00,254.75,383.85,85.06
20-01-2019 00:00,260.79,386.65,102.11
21-01-2019 00:00,179.87,301.53,91.2
22-01-2019 00:00,39.9,45.88,51.19
23-01-2019 00:00,110.79,174.34,58.3
24-01-2019 00:00,97.85,152.93,49.11
25-01-2019 00:00,78.17,117.26,53.2
26-01-2019 00:00,89.06,133.55,45.09
27-01-2019 00:00,136.41,188.88,50.95
28-01-2019 00:00,137.07,191,59.99
29-01-2019 00:00,154.05,233.63,75.75
30-01-2019 00:00,213.73,323.97,79
31-01-2019 00:00,172.87,259.35,88.59
01-02-2019 00:00,191.58,252.16,84.8
02-02-2019 00:00,169.75,241.8,61.3
03-02-2019 00:00,124.89,195.05,62.47
04-02-2019 00:00,153.07,265.91,67.01
05-02-2019 00:00,218.41,334.45,77.75
06-02-2019 00:00,207.04,298.04,83.95
07-02-2019 00:00,66.23,97.62,54.45
08-02-2019 00:00,67.38,129.44,44.71
09-02-2019 00:00,80.01,144.95,45.11
10-02-2019 00:00,137.53,239.75,56.85
11-02-2019 00:00,145.96,268.56,67.25
12-02-2019 00:00,181.51,323.38,77.32
13-02-2019 00:00,195.65,321.7,100.86
14-02-2019 00:00,170.61,237.5,78.88
15-02-2019 00:00,119.9,157.47,55.05
16-02-2019 00:00,106.31,157.58,47.51
17-02-2019 00:00,90.49,156.95,49.79
18-02-2019 00:00,97.11,171.98,65.09
19-02-2019 00:00,127.77,196.49,64.94
20-02-2019 00:00,84.51,119.78,55.48
21-02-2019 00:00,69.34,149.68,57.12
22-02-2019 00:00,63.22,110.31,49.04
23-02-2019 00:00,57.43,98.52,42.75
24-02-2019 00:00,90.89,146.91,49.46
25-02-2019 00:00,99.69,172.25,48.5
26-02-2019 00:00,52.29,83.03,42.87
27-02-2019 00:00,48.37,75.02,38.79
28-02-2019 00:00,100.5,187.2,48.99
01-03-2019 00:00,98.19,190.06,52.47
02-03-2019 00:00,137.26,215.22,70.99
03-03-2019 00:00,61.91,82.3,41.01
04-03-2019 00:00,75.07,114.09,45.95
05-03-2019 00:00,75.24,143.88,44.88
06-03-2019 00:00,79.01,154.95,46.68
07-03-2019 00:00,106.15,212.92,48.55
08-03-2019 00:00,84.52,171,52.56
09-03-2019 00:00,65.15,149.83,50.57
10-03-2019 00:00,73.08,144.58,47.55
11-03-2019 00:00,81.46,176.8,55.16
12-03-2019 00:00,47.82,99.94,54.06
13-03-2019 00:00,84.11,199.54,69.55
14-03-2019 00:00,98.23,192.83,67.81
15-03-2019 00:00,58.27,116.65,55.51
16-03-2019 00:00,62.25,119.08,53.45
17-03-2019 00:00,90.69,177.31,64
18-03-2019 00:00,100.75,207.38,68.29
19-03-2019 00:00,98.32,203.83,68.86
20-03-2019 00:00,141.02,292.4,88.87
21-03-2019 00:00,67.67,122.72,52.49
22-03-2019 00:00,33.56,99.53,47.9
23-03-2019 00:00,54.24,119.91,39.41
24-03-2019 00:00,49.54,118.5,46.35
25-03-2019 00:00,70.47,145.5,47.26
26-03-2019 00:00,76.51,164.95,50.71
27-03-2019 00:00,98.78,204.09,56.82
28-03-2019 00:00,148.39,288.68,61.73
29-03-2019 00:00,107.68,262.68,70.57
30-03-2019 00:00,114.74,249.2,72.28
31-03-2019 00:00,56.22,158.25,48.71
01-04-2019 00:00,54.83,156.71,43.88
02-04-2019 00:00,114.1,247.48,60.55
03-04-2019 00:00,97.81,218.35,51.57
04-04-2019 00:00,140.83,224.12,65.23
05-04-2019 00:00,138.09,338.4,77.07
06-04-2019 00:00,99.81,283.29,59.73
07-04-2019 00:00,150.85,322.19,70.38
08-04-2019 00:00,80.16,292.36,64.87
09-04-2019 00:00,114.05,223.65,61.85
10-04-2019 00:00,95,245.24,66.88
11-04-2019 00:00,72.18,211.2,65.14
12-04-2019 00:00,43.72,178.56,52.68
13-04-2019 00:00,45.21,168.39,51.32
14-04-2019 00:00,43.74,179.1,52.79
15-04-2019 00:00,43.38,184.93,58.01
16-04-2019 00:00,34.83,151.87,39.31
17-04-2019 00:00,28.72,66.38,36.58
18-04-2019 00:00,40.93,97.21,38.94
19-04-2019 00:00,64.04,167.1,59.25
20-04-2019 00:00,107.31,227.71,60.82
21-04-2019 00:00,120.27,297.62,60.93
22-04-2019 00:00,88.83,239.12,58.84
23-04-2019 00:00,94.64,278.08,63.09
24-04-2019 00:00,112.7,346.23,58.62
25-04-2019 00:00,80.51,262.91,57.12
26-04-2019 00:00,80.48,268.29,61.66
27-04-2019 00:00,55.59,276.17,49.81
28-04-2019 00:00,59.008,285.83,50.127
29-04-2019 00:00,62.426,295.49,50.444
30-04-2019 00:00,65.844,305.15,50.761
01-05-2019 00:00,69.262,314.81,51.078
02-05-2019 00:00,72.68,324.47,51.395
03-05-2019 00:00,76.098,334.13,51.712
04-05-2019 00:00,79.516,343.79,52.029
05-05-2019 00:00,82.934,353.45,52.346
06-05-2019 00:00,86.352,363.11,52.663
07-05-2019 00:00,89.77,372.77,52.98
08-05-2019 00:00,184.67,481.08,58.47
09-05-2019 00:00,157.78,443.29,54.9
10-05-2019 00:00,95.35,369.69,29.1
11-05-2019 00:00,105.47,270.7,41.92
12-05-2019 00:00,157.66,361.84,43
13-05-2019 00:00,133.36,333.02,42.83
14-05-2019 00:00,57.18,112.69,42.96
15-05-2019 00:00,83.18,160,62.37
16-05-2019 00:00,69.84,190.09,66.45
17-05-2019 00:00,81.14,319.98,57.07
18-05-2019 00:00,39.57,96.48,43.96
19-05-2019 00:00,78.24,168.71,44.97
20-05-2019 00:00,102.28,289.54,53.01
21-05-2019 00:00,79.84,220.16,39.81
22-05-2019 00:00,71,252.33,48.86
23-05-2019 00:00,121.02,324.02,49.09
24-05-2019 00:00,42.9,122.85,66.11
25-05-2019 00:00,36.5,111.15,37.87
26-05-2019 00:00,59.17,153.48,37.41
27-05-2019 00:00,91,211.25,43.66
28-05-2019 00:00,44.7,210,42.87
29-05-2019 00:00,88.08,237.58,50.41
30-05-2019 00:00,109.17,305.86,48.71
31-05-2019 00:00,85.21,373.64,39.86
01-06-2019 00:00,113.26,327.48,48.76
02-06-2019 00:00,75.14,210.97,43.91
03-06-2019 00:00,63.19,321.68,39.36
04-06-2019 00:00,54.72,168.42,30.05
05-06-2019 00:00,86.6,225.17,42.64
06-06-2019 00:00,69.23,268.73,42.36
07-06-2019 00:00,58.85,139.85,34.48
08-06-2019 00:00,85.58,261.33,69.22
09-06-2019 00:00,104.1,290.88,69.01
10-06-2019 00:00,77.77,286.51,66.88
11-06-2019 00:00,95.06,446.01,44.96
12-06-2019 00:00,53.1,230.47,27.36
13-06-2019 00:00,49.27,173.99,35.85
14-06-2019 00:00,55.27,215.26,37.62
15-06-2019 00:00,75.92,288.11,32.59
16-06-2019 00:00,36.22,173,18.22
17-06-2019 00:00,36.2,135.55,21.94
18-06-2019 00:00,31.02,52.92,31.7
19-06-2019 00:00,68.58,194.57,49.2
20-06-2019 00:00,44.24,129.31,43.21
21-06-2019 00:00,84.14,189.16,48.22
22-06-2019 00:00,59.62,172.25,50.85
23-06-2019 00:00,45.86,130.33,20.09
24-06-2019 00:00,28.69,60.57,70.91
25-06-2019 00:00,54.26,90.31,39.26
26-06-2019 00:00,68.71,140.21,39.38
27-06-2019 00:00,59.19,276.08,53.38
28-06-2019 00:00,62.9,266.23,38.19
29-06-2019 00:00,57.86,323.25,32.06
30-06-2019 00:00,55.59,229.53,36.53
01-07-2019 00:00,56.02,178,35.51
02-07-2019 00:00,62.62,211.62,35.27
03-07-2019 00:00,47.27,120.79,38.98
04-07-2019 00:00,38.15,70.79,37.61
05-07-2019 00:00,46.96,76.01,50.11
06-07-2019 00:00,42.46,73.51,50
07-07-2019 00:00,45.94,73.17,32.95
08-07-2019 00:00,53.93,145.2,44.25
09-07-2019 00:00,45.85,111.65,44.34
10-07-2019 00:00,77.53,378.42,43.21
11-07-2019 00:00,73.27,380.14,29.85
12-07-2019 00:00,84.49,401.61,39.36
13-07-2019 00:00,57.05,345.24,26.6
14-07-2019 00:00,46.62,230.02,26.26
15-07-2019 00:00,29.97,90.68,28.49
16-07-2019 00:00,24.92,39,25.51
17-07-2019 00:00,25.12,38.19,24.06
18-07-2019 00:00,31.85,59.65,35.47
19-07-2019 00:00,71.62,137.4,41.17
20-07-2019 00:00,43.54,82.96,47.15
21-07-2019 00:00,54.01,83.73,43.6
22-07-2019 00:00,54.45,81.4,46.7
23-07-2019 00:00,51.36,80.27,68.61
24-07-2019 00:00,63.12,148.24,66.88
25-07-2019 00:00,19.65,43.88,56.1
26-07-2019 00:00,33.92,43.63,39.29
27-07-2019 00:00,25.1,20.51,26.94
28-07-2019 00:00,21.49,25.31,28.1
