Date,CO,Ozone
01-01-2019 00:00,2.16,6.27
01-01-2019 08:00,1.26,47.42
01-01-2019 16:00,1.7,16.23
02-01-2019 00:00,1.79,1.32
02-01-2019 08:00,1.68,50.98
02-01-2019 16:00,2.22,14.65
03-01-2019 00:00,2.92,1.86
03-01-2019 08:00,1.48,36.95
03-01-2019 16:00,1.52,19.8
04-01-2019 00:00,1.22,7.24
04-01-2019 08:00,1.09,25.4
04-01-2019 16:00,1.76,4.42
05-01-2019 00:00,1.59,1.18
05-01-2019 08:00,1.35,39.45
05-01-2019 16:00,1.27,18.82
06-01-2019 00:00,1.05,16.23
06-01-2019 08:00,0.61,41.5
06-01-2019 16:00,0.88,14.25
07-01-2019 00:00,0.92,1.6
07-01-2019 08:00,0.87,34.69
07-01-2019 16:00,1.02,13.25
08-01-2019 00:00,0.7,2.34
08-01-2019 08:00,0.66,36.62
08-01-2019 16:00,0.86,15.25
09-01-2019 00:00,0.94,9
09-01-2019 08:00,0.5,45.63
09-01-2019 16:00,0.82,17.36
10-01-2019 00:00,0.76,5.77
10-01-2019 08:00,0.64,49.65
10-01-2019 16:00,1.6,14.62
11-01-2019 00:00,1.71,1.48
11-01-2019 08:00,1.03,46.78
11-01-2019 16:00,1.43,26.49
12-01-2019 00:00,2.5,1.45
12-01-2019 08:00,1.65,54.81
12-01-2019 16:00,2.1,20.68
13-01-2019 00:00,1.51,2.48
13-01-2019 08:00,1.04,51.39
13-01-2019 16:00,0.93,25.36
14-01-2019 00:00,0.44,12.18
14-01-2019 08:00,0.41,49.62
14-01-2019 16:00,0.62,22.28
15-01-2019 00:00,0.55,17.52
15-01-2019 08:00,0.61,38.59
15-01-2019 16:00,1.74,12.06
16-01-2019 00:00,2.69,1.47
16-01-2019 08:00,1.3,49.42
16-01-2019 16:00,1.81,16.27
17-01-2019 00:00,1.72,1.25
17-01-2019 08:00,1.67,54.52
17-01-2019 16:00,1.24,21.26
18-01-2019 00:00,2.2,1.98
18-01-2019 08:00,2.01,37.38
18-01-2019 16:00,1.89,12.44
19-01-2019 00:00,1.77,1.11
19-01-2019 08:00,1.01,47.88
19-01-2019 16:00,1.55,20.32
20-01-2019 00:00,2.31,1.41
20-01-2019 08:00,1.6,76.26
20-01-2019 16:00,1.65,43.63
21-01-2019 00:00,1.83,2.59
21-01-2019 08:00,1,39.35
21-01-2019 16:00,0.46,46.03
22-01-2019 00:00,0.33,40.03
22-01-2019 08:00,0.57,30.1
22-01-2019 16:00,0.49,17.71
23-01-2019 00:00,0.95,2.56
23-01-2019 08:00,0.83,41.45
23-01-2019 16:00,1.36,16.7
24-01-2019 00:00,0.84,3.21
24-01-2019 08:00,0.62,43.71
24-01-2019 16:00,0.48,34.79
25-01-2019 00:00,0.2,20.36
25-01-2019 08:00,0.3,40.5
25-01-2019 16:00,0.8,21.55
26-01-2019 00:00,0.6,9.42
26-01-2019 08:00,0.48,55.28
26-01-2019 16:00,0.67,35.06
27-01-2019 00:00,0.71,7.74
27-01-2019 08:00,0.59,50.18
27-01-2019 16:00,0.69,30.31
28-01-2019 00:00,0.74,16.22
28-01-2019 08:00,0.52,58.29
28-01-2019 16:00,0.81,24.63
29-01-2019 00:00,0.68,12.98
29-01-2019 08:00,0.58,56.76
29-01-2019 16:00,1.18,19.31
30-01-2019 00:00,0.91,2.95
30-01-2019 08:00,0.71,61.41
30-01-2019 16:00,1.6,19.19
31-01-2019 00:00,1.4,1.28
31-01-2019 08:00,1.14,49.27
31-01-2019 16:00,0.99,32.05
01-02-2019 00:00,0.88,20.24
01-02-2019 08:00,1.15,45.01
01-02-2019 16:00,1.07,19.07
02-02-2019 00:00,0.59,18.04
02-02-2019 08:00,0.71,34.79
02-02-2019 16:00,1.04,16.37
03-02-2019 00:00,0.65,17.33
03-02-2019 08:00,0.62,32.81
03-02-2019 16:00,1.44,14.16
04-02-2019 00:00,1.31,2.33
04-02-2019 08:00,1.02,51.22
04-02-2019 16:00,1.95,22.96
05-02-2019 00:00,2.2,1.44
05-02-2019 08:00,1.32,75.49
05-02-2019 16:00,1.66,29.78
06-02-2019 00:00,2.25,1.8
06-02-2019 08:00,1.27,44.81
06-02-2019 16:00,1.07,29.2
07-02-2019 00:00,0.59,27.21
07-02-2019 08:00,0.56,31.29
07-02-2019 16:00,0.57,24.48
08-02-2019 00:00,0.75,3.2
08-02-2019 08:00,0.59,43.67
08-02-2019 16:00,0.53,22.97
09-02-2019 00:00,0.45,16.36
09-02-2019 08:00,0.38,52.69
09-02-2019 16:00,0.81,22.23
10-02-2019 00:00,1.12,1.54
10-02-2019 08:00,0.67,53.66
10-02-2019 16:00,1.12,19.81
11-02-2019 00:00,1.49,1.89
11-02-2019 08:00,0.79,67.38
11-02-2019 16:00,1.4,19.77
12-02-2019 00:00,2.11,2.1
12-02-2019 08:00,0.92,74.85
12-02-2019 16:00,1.19,27.04
13-02-2019 00:00,1.19,1.62
13-02-2019 08:00,1.61,67.78
13-02-2019 16:00,2.02,42.66
14-02-2019 00:00,2.07,13.57
14-02-2019 08:00,1.01,41.88
14-02-2019 16:00,0.87,44.17
15-02-2019 00:00,0.86,13.96
15-02-2019 08:00,0.85,47.78
15-02-2019 16:00,0.9,25.79
16-02-2019 00:00,0.66,17.88
16-02-2019 08:00,0.62,32.8
16-02-2019 16:00,0.73,19.69
17-02-2019 00:00,0.68,14.64
17-02-2019 08:00,0.51,66.06
17-02-2019 16:00,0.82,28.56
18-02-2019 00:00,0.77,5.7
18-02-2019 08:00,0.76,57.39
18-02-2019 16:00,0.71,34.64
19-02-2019 00:00,0.83,8.81
19-02-2019 08:00,0.99,75.52
19-02-2019 16:00,0.96,45.36
20-02-2019 00:00,1.04,11.54
20-02-2019 08:00,0.42,33.04
20-02-2019 16:00,0.77,13.11
21-02-2019 00:00,0.59,5.16
21-02-2019 08:00,0.58,59.96
21-02-2019 16:00,1.08,18.79
22-02-2019 00:00,0.7,14.07
22-02-2019 08:00,0.35,37.67
22-02-2019 16:00,0.39,39.22
23-02-2019 00:00,0.39,24.82
23-02-2019 08:00,0.33,67.98
23-02-2019 16:00,0.56,29.06
24-02-2019 00:00,0.57,15.86
24-02-2019 08:00,0.4,78.13
24-02-2019 16:00,0.7,30.21
25-02-2019 00:00,1.5,4.96
25-02-2019 08:00,0.56,77.94
25-02-2019 16:00,0.35,63.72
26-02-2019 00:00,0.45,11.09
26-02-2019 08:00,0.5,56.46
26-02-2019 16:00,0.4,38.12
27-02-2019 00:00,0.38,10.98
27-02-2019 08:00,0.34,42.71
27-02-2019 16:00,0.72,13.32
28-02-2019 00:00,1.14,3.08
28-02-2019 08:00,0.32,61.48
28-02-2019 16:00,1.03,27.08
01-03-2019 00:00,0.88,3.43
01-03-2019 08:00,0.43,66.42
01-03-2019 16:00,0.68,25.7
02-03-2019 00:00,0.83,2.94
02-03-2019 08:00,1.04,16.49
02-03-2019 16:00,1.06,12.57
03-03-2019 00:00,0.53,20.54
03-03-2019 08:00,0.51,62.75
03-03-2019 16:00,0.58,29.01
04-03-2019 00:00,0.85,3.09
04-03-2019 08:00,0.63,51.77
04-03-2019 16:00,0.45,30.99
05-03-2019 00:00,0.47,11.84
05-03-2019 08:00,0.44,61.08
05-03-2019 16:00,0.66,26.54
06-03-2019 00:00,0.5,12.64
06-03-2019 08:00,0.4,72.87
06-03-2019 16:00,0.95,28.89
07-03-2019 00:00,0.83,3.29
07-03-2019 08:00,0.47,84.48
07-03-2019 16:00,0.57,41.35
08-03-2019 00:00,0.85,2.91
08-03-2019 08:00,0.57,80.48
08-03-2019 16:00,0.44,45.73
09-03-2019 00:00,0.7,7.06
09-03-2019 08:00,0.4,65.22
09-03-2019 16:00,0.42,41.4
10-03-2019 00:00,0.62,8.94
10-03-2019 08:00,0.34,87.25
10-03-2019 16:00,0.56,41.64
11-03-2019 00:00,0.86,8.24
11-03-2019 08:00,0.48,87.82
11-03-2019 16:00,0.58,51.56
12-03-2019 00:00,0.42,17.95
12-03-2019 08:00,0.31,72.62
12-03-2019 16:00,0.38,42.69
13-03-2019 00:00,0.66,4.26
13-03-2019 08:00,0.46,52.68
13-03-2019 16:00,0.63,30.24
14-03-2019 00:00,1.31,2.94
14-03-2019 08:00,0.56,44.92
14-03-2019 16:00,0.58,21.93
15-03-2019 00:00,0.71,2.69
15-03-2019 08:00,0.39,67.97
15-03-2019 16:00,0.36,39.68
16-03-2019 00:00,0.44,31.55
16-03-2019 08:00,0.35,81.52
16-03-2019 16:00,0.61,35.77
17-03-2019 00:00,0.82,5.46
17-03-2019 08:00,0.39,80.77
17-03-2019 16:00,0.67,37.53
18-03-2019 00:00,0.81,3.89
18-03-2019 08:00,0.41,87.24
18-03-2019 16:00,0.82,38.62
