Date,Alipur,Anand Vihar,Ashok Vihar,Aya Nagar,Bawana,Burari Crossing,CRRI Mathura Road,Dr. Karni Singh Shooting Range,DTU,Dwarka-Sector 8,IGI Airport (T3),"IHBAS, Dilshad Garden",ITO,Jahangirpuri,Jawaharlal Nehru Stadium,Lodhi Road,Major Dhyan Chand National Stadium,Mandir Marg,Mundka,Najafgarh,Narela,Nehru Nagar,"North Campus, DU",NSIT Dwarka,Okhla Phase-2,Patparganj,Punjabi Bagh,Pusa,R K Puram,Rohini,Shadipur,Sirifort,Sonia Vihar,Sri Aurobindo Marg,Vivek Vihar,Wazirpur
25-03-2020 00:00,37.62,42.55,41.14,32.42,56.04,41,33.13,31.05,42.65,39.88,34.45,32.15,88.89,48.65,28.56,29.34,29.71,35.622,51.15,43.3,44.61,38.38,31.41,47.73,37.38,32.1,38.78,30.73,24.28,47.44,31.5,31.41,36.73,24.15,38.69,41
26-03-2020 00:00,48.83,44.99,58.33,47.41,74.1,36.4625,33.57,32.57,63.33,42.61,27.71,12.89,51,59.74,33.44,29.83,33.81,26.036,76.01,61.91,60.84,42.46,34.68,54.76,34.98,33.94,52.01,45.2,27.87,67.55,44.75,35.13,42.93,29.04,44.25,36.4625
27-03-2020 00:00,22.51,25.54,27.98,29.77,38.93,31.925,19.27,22.64,41.08,29.11,17.02,12.92,57.9,24.84,21.75,19.34,22.36,16.45,28.65,28.26,25.57,27.09,16.53,36.74,24.26,18.76,22.69,22.47,19.48,32.86,32.26,26.1,19.13,20.11,20.58,31.925
28-03-2020 00:00,16.44,22.69,25.07,21.05,29.31,27.3875,20.11,15.97,39.066,19.98,16.64,11.5,60.48,35.27,15.23,15.43,15.88,16.69,28.62,27.97333333,27.76,23.06,19.84,35.88,19.04,11.33,20.7,16.82,16.13,30.31,25.57,16.29,20.23,11.98,21.15,27.3875
29-03-2020 00:00,21.32,29.11,31.17,24.01,41.98,22.85,22.26,21.86,37.052,35.72,23.21,11.79,59.38,33.18,18.85,19.47,18.7,24.55,46.69,27.68666667,32.8,26.17,20.72,40.39,21.75,13.68,27.74,25.01,21.13,38.31,19.6,28.71,19.25,19.38,19.94,22.85
30-03-2020 00:00,32.06,31.88,38.34,30.08,58.62,39.54,32.53,31,35.038,45.55,28.04,11.56,53.58,49.54,31,26.56,31.39,27.25,65.58,27.4,34.22,41.36,21.77,46.98,33.59,16.03,38.78,38.91,25.5,53.62,18.03,23.885,28.75,28.85,27.42,39.54
31-03-2020 00:00,28.5,35.85,37.2,29.54,55.69,35.92,28.43,27.84,33.024,34.19,24.64,11.46,46.62,50.33,27.33,26.06,25.9,27.94,52.75,72,72.75,35.12,20.48,45.41,30.54,18.38,35.31,36.0625,23.51,50.71,17.6,19.06,30.8,23.56,30.44,35.92
01-04-2020 00:00,31.06,37.04,45.29,35.46,32.14,45.85,28.22,24.96,31.01,35.19,25.02,12.31,51.23,49.5,24.44,25.09,27.53,28.5,51.4,64.92142857,66.26142857,32.1,21.18,43.03,27.08,25.79,39.41,33.215,22.74,47.67,16.27,28.63,33.42,22.06,33.54,45.85
02-04-2020 00:00,24.54,30.54,32.9,27.14,32.375,31.58,22.06,21.91,33.72,30.17,23.3,11.82,53.18,45.88,20.1,22.83,28.18666667,26.15,39.1,57.84285714,59.77285714,26.42,15.26,42.44,23.57,20.43,28.24,30.3675,18.39,41.33,15.61,22.83,27.96,21.12,26.06,31.58
03-04-2020 00:00,29.85,30.67,34.62,29.05,32.61,38.04,29.27,29.78,42.59,41.21,24.49,11.3,47.08,46.04,28.8,20.35,28.84333333,23.77,68.15,50.76428571,53.28428571,36.18,16.38,38.63,30,21.1,32.14,27.52,37.41,58.04,19.66,30.47,26.79,25.06,23.31,38.04
