Date,PM2.5,PM10,NO2,CO,Ozone
01-01-2019 00:00,407.94,581.72,100.93,2.98,20.38
02-01-2019 00:00,465.07,631.64,116.32,3.66,20.94
03-01-2019 00:00,437.71,605.65,91.1,3.13,19.11
04-01-2019 00:00,313.42,510.71,72.73,3.07,10.2
05-01-2019 00:00,295.88,502.12,78.75,3.1,21.11
06-01-2019 00:00,202.5,324.25,64.37,2.29,24.59
07-01-2019 00:00,247.04,412.22,69.73,2.66,16.93
08-01-2019 00:00,192,320.94,64.24,2.16,15.43
09-01-2019 00:00,193.83,316.17,66.99,1.81,19.16
10-01-2019 00:00,253.04,352.92,79.05,3.56,30.19
11-01-2019 00:00,346.74,477.17,92.05,2.45,29.67
12-01-2019 00:00,280.96,527.67,104.35,3.52,32.62
13-01-2019 00:00,259.42,481.21,82.04,3.67,32.81
14-01-2019 00:00,115.17,240.25,60.49,1.48,37.16
15-01-2019 00:00,160.16,303.49,72.64,2.05,30.91
16-01-2019 00:00,300.23,535.17,106.19,3.9,23.89
17-01-2019 00:00,349.2,595.61,106.11,3.21,26.35
18-01-2019 00:00,280.96,474.22,90.79,2.7,26.12
19-01-2019 00:00,399.14,482.12,99.03,3.89,30.69
20-01-2019 00:00,401.38,653.97,143.16,6.14,39.21
21-01-2019 00:00,216.21,379.44,80.37,1.72,53.86
22-01-2019 00:00,62.65,96.99,51.6,1.47,28.06
23-01-2019 00:00,177.95,314.25,67.72,2.58,21.88
24-01-2019 00:00,119.64,223.95,55.03,1.69,25
25-01-2019 00:00,106.6,191.76,60.17,1.66,24.88
26-01-2019 00:00,136.73,243.48,55.09,1.58,34.73
27-01-2019 00:00,171.6,298.72,66.5,1.79,30.71
28-01-2019 00:00,157.04,283.38,68.35,1.79,26.69
29-01-2019 00:00,183.3,328.47,71.47,2.09,22.49
30-01-2019 00:00,275.21,432,86.38,3.06,23.61
31-01-2019 00:00,194.12,366.21,76.77,2.2,36.36
01-02-2019 00:00,196.5,339.54,69.09,2.02,26.52
02-02-2019 00:00,194.01,324.44,48.94,1.94,25.65
03-02-2019 00:00,158.94,279.76,47.44,2.1,23.84
04-02-2019 00:00,223.44,415.45,70.35,3.12,32.67
05-02-2019 00:00,272.35,505.79,90.84,3.51,35.29
06-02-2019 00:00,166.59,314.17,66.02,2.31,32.49
07-02-2019 00:00,63.04,117.42,38.7,1.42,31.21
08-02-2019 00:00,98.12,198.5,54.41,1.67,25.73
09-02-2019 00:00,122.45,235.96,53.06,1.69,31.84
10-02-2019 00:00,183.51,332.18,64.77,1.98,31.82
11-02-2019 00:00,225.98,406.57,71.38,2.51,34.25
12-02-2019 00:00,239,425.38,71.2,2.39,40.8
13-02-2019 00:00,209.29,388.92,92.69,3.18,40.03
14-02-2019 00:00,153.58,252.38,57.33,1.75,34.68
15-02-2019 00:00,148.04,235.42,48.65,1.79,17.66
16-02-2019 00:00,128.25,209.5,38.7,1.66,14.55
17-02-2019 00:00,130.38,227.04,50.35,1.85,28.03
18-02-2019 00:00,113.91,224.25,67.73,1.83,27.41
19-02-2019 00:00,144.65,261,70.13,2.15,42.03
20-02-2019 00:00,98.52,182.18,54.58,2.11,13.12
21-02-2019 00:00,92.77,214.02,51.91,2.38,41.89
22-02-2019 00:00,95.38,187.88,38.69,1.39,27.34
23-02-2019 00:00,91.54,184,46.01,1.55,39.39
24-02-2019 00:00,118.29,213.58,54.5,1.57,40.06
25-02-2019 00:00,94.25,182.38,58.07,1.51,43.66
26-02-2019 00:00,65.57,135.88,51.62,1.62,32.83
27-02-2019 00:00,65.43,117.53,39.3,1.6,14.87
28-02-2019 00:00,129.46,241.46,49.8,1.63,30.81
01-03-2019 00:00,124.64,244.72,53.21,1.54,30.78
02-03-2019 00:00,118.3,212.67,65.69,1.5,10.48
03-03-2019 00:00,69.42,125.86,42.03,1.55,27.78
04-03-2019 00:00,104.52,198.2,38.02,1.55,29.66
