Date,AT,WS,WD,RH
01-01-2019 00:00,14.17,0.3,143.6,66.98
02-01-2019 00:00,15.09,0.38,147.98,70.84
03-01-2019 00:00,14.65,0.47,68.32,74.92
04-01-2019 00:00,12.6,0.44,84.08,82.75
05-01-2019 00:00,14.42,0.72,180.23,70.37
06-01-2019 00:00,14.96,0.52,82.96,76.15
07-01-2019 00:00,14.36,0.56,50.34,78.66
08-01-2019 00:00,14.51,0.6,44.62,72.2
09-01-2019 00:00,14.51,0.73,25.21,64.16
10-01-2019 00:00,14.39,0.49,84.18,64.61
11-01-2019 00:00,13.9,0.23,105.73,73.48
12-01-2019 00:00,15.08,0.37,160.31,69.17
13-01-2019 00:00,16.48,0.62,74.31,68.47
14-01-2019 00:00,13.99,0.86,28.29,54.48
15-01-2019 00:00,12.39,0.62,75.94,59.91
16-01-2019 00:00,13.06,0.34,154.66,67.35
17-01-2019 00:00,14.36,0.46,70.04,66.33
18-01-2019 00:00,14.03,0.43,90.32,71.84
19-01-2019 00:00,15.86,0.26,141.47,64.73
20-01-2019 00:00,18.1,0.24,172.8,67.4
21-01-2019 00:00,17.27,1.23,194.02,74.89
22-01-2019 00:00,14.87,1.01,171.13,90.06
23-01-2019 00:00,13.98,0.32,107.57,89.09
24-01-2019 00:00,15.75,0.66,82.58,74.36
25-01-2019 00:00,14.43,0.76,54.76,74.82
26-01-2019 00:00,13.61,0.8,34.86,61
27-01-2019 00:00,12.23,0.69,25.78,62.66
28-01-2019 00:00,12.93,0.76,27.82,56.08
29-01-2019 00:00,13.52,0.65,36.03,56.42
30-01-2019 00:00,14.13,0.4,81.15,57.96
31-01-2019 00:00,15.46,0.91,185.56,60.44
01-02-2019 00:00,15.61,0.71,114.69,74.16
02-02-2019 00:00,12.65,0.71,44.6,89.16
03-02-2019 00:00,13.7,0.56,107.89,88.7
04-02-2019 00:00,14.86,0.4,101.69,79.11
05-02-2019 00:00,17.17,0.42,168.75,72.81
06-02-2019 00:00,18.92,1.02,205.82,78.24
07-02-2019 00:00,16.55,1.71,192.34,86.22
08-02-2019 00:00,14.33,0.64,51.1,73.15
09-02-2019 00:00,14.33,0.78,30.66,67.31
10-02-2019 00:00,14.88,0.46,63.94,67.42
11-02-2019 00:00,15.36,0.36,81.37,69.62
12-02-2019 00:00,16.98,0.31,85.28,71.57
13-02-2019 00:00,18.59,0.29,176.51,69.51
14-02-2019 00:00,17.68,1.19,188.28,77.35
15-02-2019 00:00,16.76,0.62,73.8,82.06
16-02-2019 00:00,15.7,0.74,27.09,85.78
17-02-2019 00:00,16.23,0.67,65.41,76.41
18-02-2019 00:00,18.65,0.87,184.2,61.29
19-02-2019 00:00,18.65,0.41,179.48,75.89
20-02-2019 00:00,18.29,0.58,167,81.87
21-02-2019 00:00,20.97,0.8,174.41,67.64
22-02-2019 00:00,19.03,1.26,35.7,71.18
23-02-2019 00:00,16.88,1.23,37.18,58.64
24-02-2019 00:00,17.59,0.72,42.28,57.08
25-02-2019 00:00,17.17,0.49,134.73,63.83
26-02-2019 00:00,15.58,0.61,136.21,68.97
27-02-2019 00:00,12.86,0.67,67.85,84.62
28-02-2019 00:00,15.28,0.82,58.31,66.97
01-03-2019 00:00,17.02,0.73,66.96,58.39
02-03-2019 00:00,15.55,0.34,147.93,76.85
03-03-2019 00:00,16.93,0.64,174.34,81.48
04-03-2019 00:00,18.69,0.81,78.8,80.3
05-03-2019 00:00,18.16,0.91,32.76,69.08
06-03-2019 00:00,18.83,0.81,62.57,60.82
07-03-2019 00:00,19.27,0.52,92.15,59.33
08-03-2019 00:00,20.1,0.71,80.68,59.88
09-03-2019 00:00,20.55,1.18,41.52,53.69
10-03-2019 00:00,20.49,0.76,62.93,47.45
11-03-2019 00:00,21.87,1.17,170.61,51.37
12-03-2019 00:00,21.15,0.95,52.84,53.47
13-03-2019 00:00,19.84,0.49,74.74,55.89
