Date,Alipur,Anand Vihar,Ashok Vihar,Aya Nagar,Bawana,Burari Crossing,CRRI Mathura Road,Dr. Karni Singh Shooting Range,DTU,Dwarka-Sector 8,IGI Airport (T3),"IHBAS, Dilshad Garden",ITO,Jahangirpuri,Jawaharlal Nehru Stadium,Lodhi Road,Major Dhyan Chand National Stadium,Mandir Marg,Mundka,Najafgarh,Narela,Nehru Nagar,"North Campus, DU",NSIT Dwarka,Okhla Phase-2,Patparganj,Punjabi Bagh,Pusa,R K Puram,Rohini,Shadipur,Sirifort,Sonia Vihar,Sri Aurobindo Marg,Vivek Vihar,Wazirpur
01-01-2020 00:00,13.16,60.71,50.34,52.02,52.74,73.54,57.06,20.45,20.45,25.69,84.05,84.8,27.67,84.05,51.56,51.56,66.74,44.29,82.21,50.6,54.12,91.16,58.11,25.69,57.06,112.51,63.77,58.11,22.81,74.06,58.11,75.42,58.45,52.02,45,73.54
02-01-2020 00:00,8.72,52.05,52.2,43.61,52.33,75.84,56.28,19.37,19.37,24.73,94.45,105.48,33.98,94.45,54.73,54.73,61.53,44.07,84.88,50.12,53.69,83.95,58.37,24.73,56.28,117.37,50.14,58.37,16.92,82.17,58.37,80.01,56.26,43.61,50.4,75.84
03-01-2020 00:00,18.38,55.98,47.63,40.8,72,73.07,53.22,25.67,25.67,27.2,97.5,70.7,20.03,97.5,50.34,50.34,50.36,45.49,79.18,46.26,51.86,79.81,53.63,27.2,53.22,102.19,44.29,53.63,12.73,77.49,53.63,68.54,56.27,40.8,45.47,73.07
04-01-2020 00:00,30.42,56.1,47.24,41.33,85.76,71.65,48.55,36.28,36.28,26.78,89.46,71.87,18.42,89.46,38.98,38.98,53.74,42.56,81.15,46.42,49.11,75.26,61.08,26.78,48.55,98.75,44.88,61.08,20.86,78.09,61.08,47.02,52.07,41.33,52.03,71.65
05-01-2020 00:00,26.25,45.24,41.78,38.07,80.17,56.38,43.14,20.68,20.68,26.25,79.28,34.58,10.15,79.28,36.67,36.67,51.7,39.63,67.24,44.67,50.97,69.62,62.32,26.25,43.14,105.33,38.35,62.32,22.78,76,62.32,29.95,48.17,38.07,48.11,56.38
06-01-2020 00:00,22.89,45.13,41.94,38.39,72.94,52.89,41.48,21.17,21.17,26.52,81.79,43.98,11.15,81.79,51.46,51.46,50.05,36.7,71.55,43.98,54.27,68.69,63.01,26.52,41.48,83.69,38.61,63.01,22.4,67.48,63.01,36,53.55,38.39,45.18,52.89
07-01-2020 00:00,24.8,37.16,38.06,42.24,68.84,54.31,43.42,19.95,19.95,23.6,86.25,32.31,13.31,86.25,54.15,54.15,50.21,30.76,63.69,42.16,41.29,65.51,49.76,23.6,43.42,77.02,39.91,49.76,27.12,57.82,49.76,24.58,55.27,42.24,36.01,54.31
08-01-2020 00:00,21.24,31.91,38.25,45.86,75.04,54.56,45.72,23.34,23.34,26.35,93.66,30.25,11.23,93.66,61.52,61.52,51.48,32.18,61.27,42.31,38.88,62.84,65.11,26.35,45.72,79.96,41.38,65.11,27.55,46.34,65.11,23.84,62.79,45.86,31.46,54.56
09-01-2020 00:00,24.03,18.74,28.15,33.53,78.5,42.8,31.01,21.37,21.37,17.91,96.45,20.87,8.44,96.45,42.11,42.11,37.45,26.72,44,32.27,30.6,59.84,56.63,17.91,31.01,56.47,32.62,56.63,15.68,46.31,56.63,20.12,58.63,33.53,22.74,42.8
10-01-2020 00:00,27.31,16.85,28.12,33.16,65.3,41.34,36.78,19.27,19.27,19.04,99.9,30.75,20.69,99.9,45.1,45.1,40.71,25.69,45.43,33.86,33.7,63.63,53.69,19.04,36.78,62.7,31.77,53.69,15.16,45.38,53.69,26.75,56.85,33.16,21.55,41.34
