Date,Alipur,Anand Vihar,Ashok Vihar,Aya Nagar,Bawana,Burari Crossing,CRRI Mathura Road,Dr. Karni Singh Shooting Range,DTU,Dwarka-Sector 8,IGI Airport (T3),"IHBAS, Dilshad Garden",ITO,Jahangirpuri,Jawaharlal Nehru Stadium,Lodhi Road,Major Dhyan Chand National Stadium,Mandir Marg,Mundka,Najafgarh,Narela,Nehru Nagar,"North Campus, DU",NSIT Dwarka,Okhla Phase-2,Patparganj,Punjabi Bagh,Pusa,R K Puram,Rohini,Shadipur,Sirifort,Sonia Vihar,Sri Aurobindo Marg,Vivek Vihar,Wazirpur
01-01-2020 00:00,239.12,367.38,385.33,341.49,427.91,81.53,400.86,358.84,304.32,472.98,320.88,314.68,399.66,380.43,444.47,293.36,365.22,361.43,458.02,264.75,308.61,513.97,424.63,359.43,475.22,367.11,420.68,288.81,403.09,408.55,386.95,446.66,289.84,338.67,362.84,406.43
02-01-2020 00:00,217.71,361.69,376.29,185.56,304.67,81.53,348.46,378.74,251.28,455.22,291.57,267.93,453.82,387.06,350.01,236,358.73,196.32,337.72,276.81,260.65,438.2,164.26,385.09,368.88,335.03,364.73,279.44,283.69,393.07,385.11,333.18,214.32,228.37,332.21,409.96
03-01-2020 00:00,209.23,389.3,235.42,193.76,249.79,81.53,207.8,203.61,219.51,276.09,257.88,216.94,199.48,268.35,234.34,162.66,210.86,177.12,219.1,152.83,185.42,313.01,171.68,181.16,231.83,204.24,227.72,225.27,179.81,270.26,265.54,313.85,163.93,166.83,294,303.2
04-01-2020 00:00,225.34,209.88,282.73,166.03,300.32,81.53,204.45,203.93,269.07,214.89,179.12,189.44,224.25,299.66,209.96,151.66,168.8,209.24,265.71,143.23,191.62,281.33,203.11,184.23,219.62,209.71,243.65,238.74,138.78,285.42,261.54,203.45,204.91,161.86,272.01,290.29
05-01-2020 00:00,182.92,189.56,195.35,135.37,204.33,81.53,164.62,168.58,191.4,181.99,146.29,139.19,149.41,232.57,167.1,120.68,160.02,179.18,191.7,150.48,164.42,217.18,128.41,142.25,175.46,153,161.66,187.16,117.15,205.5,178.8,174.5,162.46,147.52,206.46,217.24
06-01-2020 00:00,169.09,170.26,169.35,118.81,207.42,81.53,146.27,140.66,170.52,182.3,140.66,111.71,140.26,195.22,154.66,115.95,151.51,139.82,182.11,139.4,158.88,185.65,121.07,150.92,155.27,145.16,145.68,167.5,113.4,186.2,182.9,162.7,157.67,133.93,177.75,197.07
07-01-2020 00:00,97.05,142.56,141.65,94.13,139.79,81.53,107.9,117.6,131.31,119.5,93.2,91.78,121.71,135.77,120.11,103.57,128.33,142.62,146.4,102.08,99.41,125.48,103.81,109.96,122.26,117.77,129.56,119.99,78.51,150.3,150.92,115.44,149.69,112.35,148.67,175.19
08-01-2020 00:00,86.23,145.7,144.8,96.65,115.25,81.53,119.32,137.14,110.49,127.95,89.04,99.73,114.65,149.8,122.4,145.49,124.27,116.38,115.07,94.12,93.95,168.21,92.84,104.15,134.92,113.47,111.08,111.76,86.92,130.74,81.79,122.97,118.12,120.65,146,141.94
09-01-2020 00:00,80.5,111.38,102.27,62.96,105.5,81.53,91.64,101.47,97.07,101.98,63.83,65.12,83.89,158.22,95.2,59.47,96.74,88.5,107.06,69.66,84.35,156.46,65.53,97.41,106,88.69,84.67,111.77,74.93,111.79,67.14,88.41,79.75,90.93,100.88,114.38
10-01-2020 00:00,112.88,148.54,142.19,93.75,147.17,81.53,138.9,144.69,140.2,155.97,91.18,105,116.69,191.52,140.08,127.57,142.31,120.11,155.92,86.89,130.82,214.69,96.49,143.32,150.22,128.02,126.51,172.58,109.18,144.38,101.8,134.73,119.83,119.12,150.77,160.04
11-01-2020 00:00,129.66,164.28,166.65,104.17,170.96,81.53,155.88,165.12,189.64,165.7,111.37,103.36,138.03,222.22,162.85,128.31,148.06,133.19,212.92,110.34,143.79,287.22,118.87,176.17,160.22,146.48,144.19,172.48,123.22,193.08,116.61,159.44,124.33,126.4,165.69,193.9
12-01-2020 00:00,181.02,260.68,240.25,130.16,240.92,81.53,219.95,205.9,206.66,250.98,162.32,159.65,208.81,319.35,220.01,150.63,207.22,167.52,251.51,135.53,190.08,332.58,161.08,202.48,253.17,211.1,226.69,211.44,213.32,259.96,195.18,226.41,183.88,166.15,259.67,265.06
13-01-2020 00:00,201.79,259.22,242.27,143.93,219.42,81.53,234.36,222.88,198.34,215.79,144.35,202.79,232.03,242.81,250.48,179.19,239.71,185.8,211.61,169.74,208.08,291.56,164.06,196.12,248.04,209.91,195.62,200.65,172.84,228.62,179.81,233.37,225.83,207.12,250,267.4
14-01-2020 00:00,104.38,143.28,133.85,65.44,114.08,81.53,116.12,128.8,98.29,110.41,74.58,118.1,142.44,158.16,122.95,93.11,128.78,106.8,100.73,74.38,108.64,172.45,91.92,95.63,135.44,122.2,94.77,117.83,87.72,122.21,94.73,114.02,116.51,109.08,155.02,131.12
15-01-2020 00:00,111.52,118.79,134.44,86.51,130,81.53,108.42,113.67,116.96,134.93,89.45,92.68,123.21,173.94,110.52,80.28,113.25,98.11,146.52,86.36,113.41,173.56,84.6,122.44,122.08,101.3,101.19,128.96,90.76,132,79.16,106.49,107.77,106.58,129.1,133.62
16-01-2020 00:00,117.62,163.94,165.62,102.29,150.05,81.53,121.71,144.47,147.45,165.54,116.79,125.47,132.7,195.75,136.08,106.17,136.84,134.59,134.9,104.92,146.65,195.81,110.62,139.72,144.92,139.09,137.1,158.5,111.31,159.62,106.95,136.3,137.06,137.08,175.67,177.34
17-01-2020 00:00,97.65,106.42,128.12,67.9,126.42,81.53,115.36,96.05,136.22,139.26,90.01,81.62,97.86,162.3,96.38,71.56,96.52,87.19,130.17,96.1,119.92,156.31,79.23,118.87,93.75,97.66,114.02,129.14,83.45,141.75,101.55,89.95,101.02,93.21,109.23,145.5
18-01-2020 00:00,108.43,171.87,144.73,85.68,127.19,81.53,129.98,144.99,119.11,140.36,110.52,112.78,128.3,179.11,131.09,89.65,132.3,116.05,134.35,106.65,111.88,195.38,89.3,114.81,147.79,120.84,121.92,144.1,107.14,140.04,113.57,131.19,108.77,110.97,153.04,151.33
19-01-2020 00:00,106.44,153.73,139.5,77.48,125.54,81.53,129.43,140.98,136.52,132.5,101.87,114.4,119.79,175.85,133.79,94.22,133.69,115.03,136.41,100.11,108.75,177.44,97.68,110.43,147.15,75.85,117.3,141.21,100.16,137.5,102.09,132.97,126.23,122.14,157.08,162.1
20-01-2020 00:00,139.1,181.78,175.19,74.77,153.08,81.53,137.83,142.07,186.82,154.58,105.12,133.34,146.69,199.92,143.94,99.41,153.45,130.61,191.02,104.62,143.46,215.07,127.18,137.98,157.64,144.64,149.33,162.64,120.08,170.79,135.29,141.63,151.67,120.09,184.52,192.92
21-01-2020 00:00,246.46,243.08,276.53,127.87,312.67,81.53,180.43,199.43,299.3,235.44,145.32,192.02,192.91,301.81,202.74,143.44,201.11,177.61,365.04,185.02,267.4,237.11,195.2,231.37,237.19,190.1,249.83,198.9,169.99,339.57,213.17,206.75,259.9,179.43,246.92,310.04
22-01-2020 00:00,137.78,235.97,206.83,125.64,180.79,81.53,189.56,207.31,195.83,199.83,158.43,162.17,212.34,223.48,208.68,158.92,221.5,207.23,200.29,147.3,149.15,262.93,158.96,188.67,219.83,185.9,204.2,218.82,163.65,214.51,192.31,209.2,167.54,177.07,235.5,231.73
23-01-2020 00:00,65.96,74.64,81.35,43.36,91.58,81.53,67.94,73.76,96.89,84.82,60.5,54.08,72.69,119.36,65.95,48.5,67.23,57.96,87.15,67.31,67.2,101.35,50.84,100.62,74.44,63.42,72.08,88.72,51.04,98.08,77.12,66.55,68.79,69.84,78.79,91.5
24-01-2020 00:00,79.5,91.35,96.23,43.2,118.43,81.53,81.97,75.51,116.57,88.02,59.78,66.6,93.92,146.67,75.84,58.12,77.89,68.3,115.27,52.6,91.07,128.4,62.67,97.71,78.02,69.46,70.63,96.92,63.15,115.33,77.46,70.67,80.07,61.75,96.27,105.4
