Date,Alipur,Anand Vihar,Ashok Vihar,Aya Nagar,Bawana,Burari Crossing,CRRI Mathura Road,Dr. Karni Singh Shooting Range,DTU,Dwarka-Sector 8,IGI Airport (T3),"IHBAS, Dilshad Garden",ITO,Jahangirpuri,Jawaharlal Nehru Stadium,Lodhi Road,Major Dhyan Chand National Stadium,Mandir Marg,Mundka,Najafgarh,Narela,Nehru Nagar,"North Campus, DU",NSIT Dwarka,Okhla Phase-2,Patparganj,Punjabi Bagh,Pusa,R K Puram,Rohini,Shadipur,Sirifort,Sonia Vihar,Sri Aurobindo Marg,Vivek Vihar,Wazirpur
01-01-2019 00:00,109.48,146.5,77.98,23.25,54.95,43.18,24.92,57.53,39.75,65.89,81.71,79.74,53.6,100.93,81.34,34.1,88.74,147.11,62.2,70.13,52.35,72.03,56.34,28.05,66.67,28.42,59.67,93.38,49.12,76.18,131.42,79.78,71.8,35.84,61.08,100.49
02-01-2019 00:00,114.94,132.76,84.32,22.57,73.14,43.91,21.47,38.57,42.86,76.34,83.09,89.19,62.62,116.32,97.09,34.41,93.14,176.28,84.39,75.68,83.39,81.18,84.24,34.26,62.86,27.2,83.96,90.41,46.59,97.59,135.86,72.27,81.66,38.04,64.85,105.88
03-01-2019 00:00,110.51,134.3,71.8,22.4,44.5,38.25,23.91,54.94,45.47,55.03,76.9,74.57,46.85,91.1,77.11,30.86,86.31,104.11,57.13,46.54,40.67,76.48,72.74,24.73,69.83,31.26,60.83,98.28,60.41,48.82,124.1,68.47,64.83,50.71,58.84,84.14
04-01-2019 00:00,99.7,107.19,55.08,22.46,36.1,32.56,19.87,57.98,56.74,53.25,70.4,58.16,36.36,72.73,71.12,30.32,85.85,119.17,47.75,45.26,27.59,59.87,40.98,24.17,64.92,24.48,85.43,83.83,57.16,38.83,95.99,64.94,49.49,55.31,47.26,69.35
05-01-2019 00:00,94.9,85.87,54.31,21,58.23,24.89,18.25,36.14,71.48,67.73,71.55,54.36,44.43,78.75,65.7,28.86,66.94,101.67,75.09,80.43,52.47,56.97,34.21,36.03,50.33,21.72,133.15,69.24,50.93,70.27,91.01,62.15,67.96,36.14,57.74,82.4
06-01-2019 00:00,90.62,88.34,47.64,21.89,39.76,23.05,18.57,44.25,55.08,52.7,64.79,44.91,36.52,64.37,52.83,26.2,64.37,111.08,42.67,43.07,25.58,51.59,27.44,29.89,49.74,20.05,89.24,72.63,53.88,35.61,74.69,51.34,44,34.95,48.94,62.89
07-01-2019 00:00,95.62,111.34,61.38,20.87,39.95,22.56,21.25,44.09,67.78,45.67,62.98,53.98,38.12,69.73,51.34,25.59,64.74,90.38,43.88,40.65,31.02,47.27,20.67,26.42,51.19,21.61,98.01,80.84,50.29,41.13,79.68,60.5,45.92,32.26,48.45,63.63
08-01-2019 00:00,94.07,97.46,44.72,20.89,35.62,23.08,18.49,33.37,84.37,40.81,59.78,50.98,32.67,64.24,42.5,23.85,61.38,90.7,42.16,36.68,25.68,43.54,13.9,23.13,48.12,21.66,77.57,88.55,44.49,66.21,74.22,51.84,48.75,30.15,46.6,51.93
09-01-2019 00:00,86.91,103.86,49.44,22.63,37.75,22.99,13.27,48.28,89.56,42.85,61.15,50.25,31.99,66.99,48.48,24.7,62.41,92.8,46.19,42.56,27.4,42.47,14.76,24.64,48.45,26.18,77.5,86.71,50.78,47.14,68.81,49.84,51.02,37.15,50.99,51.33
10-01-2019 00:00,89.73,125.18,58.35,25.17,42.84,24.53,14.76,61.82,107.63,50.37,73.72,53.78,48.75,79.05,58.16,28.33,76.42,88.07,47.63,43.66,35.99,45.59,34.74,29.19,57.17,34.45,101.65,80.11,58.72,63.94,93.09,53.43,56.42,33.66,62.16,60.61
11-01-2019 00:00,82.09,128.36,71.59,24.99,66.42,25.94,14.04,67.31,138.92,90.02,97.5,67.21,76.67,92.05,89.65,36.03,104.54,101.26,49.28,77.94,60.56,69.47,56.49,43.07,71.06,29.63,206.1,79.7,84.15,92.6,136.46,82.64,68.78,54.91,73.36,83.52
12-01-2019 00:00,111.85,151.62,77.52,27.61,100.82,25.33,14.7,61.78,216.07,87.8,95.83,97.59,76.8,104.35,100.25,33.94,100.18,100.31,64.44,73.95,95.29,77.55,59.17,44.46,72.3,45.01,210.01,88.43,53.28,115.32,157.39,79.42,89.81,44.38,81.08,88.97
13-01-2019 00:00,89.9,119.43,59.23,27.41,50.84,25.78,16.32,77.56,88.97,64.05,73.46,74.28,51.8,82.04,84.62,28.19,82.11,106.34,46.73,63.55,34.54,58.75,39.91,37.41,62.53,39.4,128.21,97.26,65.8,58.01,154.1,73.38,55.86,47.72,58.42,70.94
14-01-2019 00:00,72.85,89.64,44.55,25.6,38.07,26.57,26.27,46.29,65.79,32.19,57.27,39.14,32.81,60.49,48.91,20.87,55.86,71.01,32.19,34.54,18.53,34.92,15.54,18.41,46.2,31.56,65.46,73.39,42.9,34.44,150.81,38.92,38.1,32.52,36.56,46.37
15-01-2019 00:00,79.32,104.95,56.25,25.44,47.15,26.14,58.57,47.48,116.39,41.28,62.62,56.1,38.69,72.64,65.37,23.01,67.16,66.02,39.62,41.42,27.33,43.18,26.76,23.59,51.21,34.46,85.36,79.42,47.91,52.32,147.52,63.8,53.33,35.24,51.26,66.4
16-01-2019 00:00,88.57,128.16,89.74,27.65,85.85,36.84,70.28,60.02,216.4,77.24,80.96,83.24,71.54,106.19,117.55,28.55,99.91,110.3,72.82,69.02,62.58,57.97,64.84,39.61,61.42,39.4,196.59,79.64,64.83,110.61,144.23,98.85,83.08,47.05,70.38,84.81
17-01-2019 00:00,95.25,117.88,79.17,27.67,68.68,44.3,94.84,92.21,168.31,85.96,90.54,82.51,58.4,106.11,120.05,29.54,115.49,82.24,76.42,76.86,48.89,75.43,46.76,46.04,75.03,37.78,184.87,107.43,67.09,80.57,124.47,123.42,57.26,55.76,67.62,75.38
18-01-2019 00:00,85.47,150.4,80.33,27.58,56.16,27.12,69.45,65.79,92.32,81.28,72.02,70.56,31.73,90.79,99.82,47.03,83.21,75.2,61.32,51.74,38.35,53.07,28.68,31.04,63.78,37.6,112.44,83.33,61.79,65,105.22,167.85,69.82,44.62,65.15,73.65
19-01-2019 00:00,85.06,182.92,77.18,28.17,66.45,38.57,80.32,67.74,86.92,58.82,82.25,88.78,48.47,99.03,113,90.51,98.31,73.98,65.75,62.83,49.94,52.41,35.44,33.95,61.88,40.06,112.36,94.65,63.62,86.36,107.33,207.4,77.46,43.89,70.85,97.94
20-01-2019 00:00,102.11,200.35,97.95,25.94,110.46,55.95,81.15,56.08,146.18,71.92,88.95,119.64,68.54,143.16,154.34,72.98,130.61,113.07,93.14,89.36,81.4,79.76,62.78,45.35,67.96,51.2,187.84,113.46,61.68,147.26,144,249.87,111.92,45.1,92.21,136.08
21-01-2019 00:00,91.2,96.81,47.98,26.42,65.27,34.31,35.07,28.18,96.86,48.66,63.29,58.51,38.97,80.37,87.41,26.47,61.93,72.52,74.54,62.87,50.73,43.02,35.15,29.65,40.79,27.36,115.4,60.67,47.27,78.59,71.92,112.42,60.87,36.25,48.8,87.1
22-01-2019 00:00,51.19,66.75,26.77,25.32,41.82,19.97,30.01,22.26,36.67,35.56,56.25,34.79,25.83,51.6,61.58,8.06,48.19,62.29,51.87,34.08,28.02,31.99,10.99,18.66,27.43,20.42,69.27,47.67,35.13,43.86,42.69,67.24,36.45,31.39,35.84,50.43
23-01-2019 00:00,58.3,96.44,49.59,24.45,43.21,27.5,45.47,52.04,2.42,35.83,68.38,42.46,29.81,67.72,70.99,28.65,59.74,52.29,50.37,37.8,28.1,37.82,26.36,19.83,35.63,25.58,105.26,69.63,46.85,50.86,70.58,102.57,42.77,42.94,46.92,61.74
24-01-2019 00:00,49.11,75.47,45.13,24.8,37.61,23.23,40.35,35.63,18.62,41.35,66.71,39.01,24.86,55.03,67.77,22.43,58.7,55.22,52.44,41.66,20.44,35.49,16.94,25.14,33.17,22.53,85.32,68.46,48.5,38.75,61.5,65.47,33.31,36.46,36.33,56.29
25-01-2019 00:00,53.2,81.02,42.13,25.88,35.25,22.27,36.79,41.43,44.31,31.6,61.5,35.07,20.74,60.17,63,18.26,53.68,58.32,43.71,28.77,19.8,36.07,9.38,18.87,39.99,19.92,78.5,73.99,49.48,33,57.22,52.23,31.88,31.71,33.19,52.34
26-01-2019 00:00,45.09,82.99,52.27,24.79,33.38,21.55,38.61,54.31,39.9,27.43,61.04,37.02,18.02,55.09,56.47,16.6,57.92,55.57,40.6,27.35,12.29,30.97,8.45,17.92,36.59,20.33,55.67,69.21,42.32,31.5,52.88,41.06,31.06,24.23,30.55,46.93
27-01-2019 00:00,50.95,87.18,53.31,24.87,40.88,22.61,38.56,45.47,46.45,30.65,60.06,47.13,18.43,66.5,63.47,19.77,59.05,55.15,45.04,42.92,17.38,36.41,9.38,22.14,40.69,24.93,95.04,76.56,42.99,35.51,59.29,49.03,40.84,27.86,38.14,47.92
28-01-2019 00:00,59.99,94.5,59.03,14.19,42.38,23.59,54.93,44.82,45.7,34.09,61.25,52.44,18.72,68.35,68.04,9.3,63.17,58.11,47.45,32.87,22.76,38.7,10.43,23.75,43.64,26.14,149.4,82.51,43.83,37.89,63.13,57.67,39.54,33.16,40.74,51.46
29-01-2019 00:00,75.75,102.31,61.13,15.51,48.3,27.11,55.25,48.13,56,37.23,64.68,61.42,21.27,71.47,79.16,10.08,71.85,63.45,56.12,40.35,27.12,42.18,16.46,26,47.04,28.21,117.2,78.51,48.45,46.07,64.23,64.13,48.54,34.97,46.17,56.47
30-01-2019 00:00,79,118.05,73.81,27.04,60.96,31.46,57.24,59.89,64.82,43.98,74.62,88.43,29.09,86.38,105.45,13.22,92.21,69.31,66.15,50.71,42.79,48.22,29.9,31.77,52.52,33.53,161.59,83.86,58.89,70.94,86.64,84.21,60.34,42.75,60.39,60.45
31-01-2019 00:00,88.59,82.29,54.92,33.75,62.01,29.19,37.39,36.77,73.65,46.59,73.33,73.79,41.21,76.77,113.14,13.62,81.32,79.08,74.03,62.42,58.61,50.44,38.14,35.56,43.93,29.31,172.17,70,58.25,79.17,83.03,89.33,64.3,46.15,52.34,63.65
01-02-2019 00:00,84.8,72.87,46.01,26.79,45.5,25.41,34.89,33.22,64,33.06,62.21,49.51,21.51,69.09,74.17,7.77,66.33,68.38,62.5,36.94,38.05,39.63,20.36,31.88,41.84,25.21,94.65,70.68,51.01,54.64,62.5,55.54,48.72,37.38,42.48,62.37
02-02-2019 00:00,61.3,67.91,38.4,23.66,26.18,17.52,27.66,31.89,34.16,20.19,54.82,39.2,19.95,48.94,45.16,6.29,49.7,49.64,44.24,25.9,11.96,29.78,13.4,17.79,39.4,22.96,40.14,67,44.26,28.38,42.6,44.78,37.3,23.26,35.78,58.99
03-02-2019 00:00,62.47,58.2,36.06,23.2,29.4,15.3,21.14,30.8,39.57,18.81,55.03,35.36,20.47,47.44,44.68,6.55,51.3,49.9,42.85,27.36,16.6,30.58,16.34,16.22,36.09,21.85,38.48,54.75,42.16,33.94,43.05,45.41,36.58,18.13,31.95,64.21
04-02-2019 00:00,67.01,128.46,60.15,29.49,50.05,17.28,26.22,53.79,44.98,28.79,69.06,64.62,31.23,70.35,81.5,11.31,73.48,58.59,53.01,34.54,39.98,42.97,27.36,24.64,48.81,29.52,89.93,78.24,55.8,59.94,74.11,80.42,54.88,32.82,50.9,103.32
05-02-2019 00:00,77.75,135.44,72.81,39.09,75.35,16.55,28.52,55.6,50.39,49.37,78.81,97.06,46.95,90.84,105.06,17.17,91.5,75.56,88.01,76.81,76.31,67.12,62.14,43.73,54.86,36.32,161.93,73.63,64.24,105.06,106.92,125.05,75.59,53.99,60.49,139.36
06-02-2019 00:00,83.95,87.71,47.44,27.91,61.13,10.81,18.85,27.88,55.8,33.32,59.94,48.58,25.31,66.02,63.98,8.69,59.71,58.51,64.56,47.68,73.48,47.22,29.66,29.66,35.31,22.99,26.62,60.93,47.72,74.84,59.47,50.31,58.49,44.34,42.17,95.4
