Date,Alipur,Anand Vihar,Ashok Vihar,Aya Nagar,Bawana,Burari Crossing,CRRI Mathura Road,Dr. Karni Singh Shooting Range,DTU,Dwarka-Sector 8,IGI Airport (T3),"IHBAS, Dilshad Garden",ITO,Jahangirpuri,Jawaharlal Nehru Stadium,Lodhi Road,Major Dhyan Chand National Stadium,Mandir Marg,Mundka,Najafgarh,Narela,Nehru Nagar,"North Campus, DU",NSIT Dwarka,Okhla Phase-2,Patparganj,Punjabi Bagh,Pusa,R K Puram,Rohini,Shadipur,Sirifort,Sonia Vihar,Sri Aurobindo Marg,Vivek Vihar,Wazirpur
01-06-2019 00:00,48.76,88.76,53.8,30.13,43.15,43.24,29.89,31.57,82.78,50.88,19.11285714,45.85,87.99,74.64,86.67,23.13,69.16,81.62,45.51,42.75,45.52,53.99,26.99235294,14.03,38.1,25.25,50.59,59.88,75.34,33.36,75.92,60.4,44.95,62.44,56.99,109.5
02-06-2019 00:00,43.91,58.78,27.93,25.58,23.38,20.21,78.025,11.75,33.08,35.23,19.94428571,23.85,88.4,42.95,47.44,2.3,34.7,50.8,31.2,37.89,33.58,30.19,26.97382353,7.91,19.26,11.41,11.6,36.51,39.77,18.62,28.37,26.8,23.25,30.09,31.86,83.31
03-06-2019 00:00,39.36,41.61,22.75,24.61,27.78,13.89,126.16,8.54,19.55,28.2,20.77571429,19.05,98.72,42.77,44.35,2,27.21,48.43,27.8,29.04,46.66,30.18,26.95529412,5.26,18.76,11.29,10.38,22.86,32.26,21.16,23.12,21.01,24.74,24.69,30.97,57.12
04-06-2019 00:00,30.05,59.32,32.25,25.14,25.27,34.7,62.4,14.52,18.89,40.81,21.60714286,22.78,105.08,43.13,63.53,2.32,45.23,57.52,30.78,36.16,44.19,41.81,26.93676471,7.79,23.15,15.21,30.91,45.16,44.74,22.54,34.73,37.14,25.83,39.66,35.05,70.92
05-06-2019 00:00,42.64,68.19,45.65,25.78,40.99,35.59,55.59,17.16,20.18,46.81,22.43857143,48.2,79.49,50.02,66.36,2.61,60.31,53.05,36.08,35.69,43.19,48.46,26.91823529,10.13,29.41,19.3,43.2,55.2,48.07,34.43,53.02,39.59,36.7,39.99,45.34,75.54
06-06-2019 00:00,42.36,93.79,43.04,25.8,33.01,32.68,37.77,26.06,29.14,41.01,23.27,56.98,118.64,43.65,60.58,2.74,56.59,52.6,31.29,32.78,37.01,41.31,26.89970588,10.2,29.29,20.44,36.01,77.35,45.13,28.6,59.49,42.7,35.65,31.3,43.35,74.58
07-06-2019 00:00,34.48,75.49,32.14,24.88,30.86,33.88,33.88,18.98,34.59,39.54,24.10142857,22.65,103.49,33.85,49.81,2.27,47.79,46.73,24.08,31.39,43.52,38.52,26.88117647,9.69,26.61,12.17,38.05,45.55,57.66,22.88,41.53,34.06,27.09,27.87,33.84,70.59
08-06-2019 00:00,69.22,120.68,47.77,26.61,60.2,36.7,32.29,41.86,36.19,58.48,24.93285714,31.85,96.02,63.73,71.08,4.37,81.47,60.13,29.3,35.59,58.55,47.87,26.86264706,21.04,45.26,24.08,44.85,94.87,65.37,33.51,65.01,50.89,46.54,31.4,49.58,80.46
09-06-2019 00:00,69.01,141.52,65.96,29.57,65.36,37.93,33.05,51.12,37.78,63.53,25.76428571,52.79,88.14,60.14,100.71,7.91,91.07,74.11,45.5,44.13,61.48,69.75,26.84411765,18.79,51.95,35.95,66.05,80.06,92.44,41.36,103.48,75.4,33.58,42.35,63.46,116.7
10-06-2019 00:00,66.88,132.17,64.57,28.16,73.39,31.92,34.67,51.1,32.25,73.07,26.59571429,55.56,92.7,69.63,92.97,5.28,102.98,67.6,20.48,51.22,58.63,58.52,26.82558824,27.33,55.83,35.5,54.87,107.85,83.55,42.09,98.78,70.78,52.89,34.23,70.56,112.1
11-06-2019 00:00,44.96,109.68,45.52,26.92,32.46,28.48,29.36,41.82,35.11,47.64,27.42714286,46.27,100.3,52.21,71.89,3.68,70.63,54.58,19.27,27.48,36.56,52.35,26.80705882,22.23,46.77,29.24,36.49,84.88,69.87,31.4,68.11,60.27,43.66,25.85,54.05,95.62
12-06-2019 00:00,27.36,55.07,19.08,24.64,14.73,29.27,18.05,12.71,38.98,29.4,28.25857143,17.29,103.43,33.07,42.5,3.02,26.29,43.7,18.49,30.73,30.22,30.29,26.78852941,14.3,22.53,12.39,27.1,35.52,39.29,12.11,31.67,27.43,18.2,18.87,29.33,54.44
13-06-2019 00:00,35.85,82.08,28.96,27.86,20.25,34.14,24.52,22.67,34.73,38.49,29.09,22.21,68.2,39.51,57.87,3.32,43.99,41.69,14.3,27.89,32.2,44.48,26.77,13.44,34.35,18.07,25.66,78.73,45.48,18.6,48.24,39.37,28.33,25.49,35.23,62.5
14-06-2019 00:00,37.62,99.21,46.59,25.77,41.74,23.59,32.54,41.69,37.81,43.97,29.13,35.42,35.61,45.82,62.15,13.31,75.11,44.29,10.56,26.31,33.57,39.55,33.21,17.19,41.11,23.3,30.73,81.79,53.57,19.23,56.75,44.95,27.74,17.51,48.63,73.47
15-06-2019 00:00,32.59,113.31,60.18,28.97,46.15,22.73,33.63,39.22,41,39.41,29.16,46,23.5,52.99,64.83,19.69,78.34,54.69,11.94,28.94,27.81,48.1,49.2,15.96,47.24,30.47,33.18,88.18,60.84,18.79,71.69,48.47,34.13,24,51.39,79.55
16-06-2019 00:00,18.22,59.04,22.95,23.93,8.98,24.1,21.3,12.46,38.65,20.6,29.21,13.08,7.9,25.46,23.29,11.8,24.16,26.08,4.35,21.56,8.08,20.44,34.465,4.73,19.72,13.82,11.87,40.85,26.34,4.45,23.39,14.8,15.28,9.81,24.99,50.02
17-06-2019 00:00,21.94,91.61,32.6,25.91,16.09,33.57,23.4,22.98,39.45,32.39,29.31,21.41,8.65,30.01,36.73,11.92,42.48,31.05,7,33.78,13.93,28.76,19.73,7.07,28.79,18.71,16.74,50.76,39.42,6.52,34.53,27.68,20.24,17.6,31.14,60.55
18-06-2019 00:00,31.7,92.25,44.34,19.2,31.82,34.04,21.36,40.36,42.62,34.19,29.44,23.75,9.63,40.97,57.27,13.56,52.18,47.49,6.16,20.38,25.06,39.9,22.92,7.75,34.64,19.73,27.52,67.23,51.06,12.44,47.76,35.91,21.22,22.69,40.18,64.92
19-06-2019 00:00,49.2,89,30.96,26.43,40.84,51.6,23.57,33.56,37.22,44.12,30.15,31.74,10.34,36.68,55.89,3.53,50.97,50.29,10.87,29.19,35.5,44.49,21.4,7.82,33.43,19.68,35.22,57.78,51.74,14.56,57.01,34.59,27.43,26.51,39.45,65.1
20-06-2019 00:00,43.21,77.6,26.09,23.28,27.83,68.57,18.13,20.77,34.67,33.67,29.64,25.1,12.06,36.34,45.29,3.54,38.86,47.46,8.05,31.99,35.86,36.29,24.73,1.92,23.67,13.29,30.56,60.75,44.97,13.74,41.49,36.78,25.39,28.9,33.84,56.73
