Date,Alipur,Anand Vihar,Ashok Vihar,Aya Nagar,Bawana,Burari Crossing,CRRI Mathura Road,Dr. Karni Singh Shooting Range,DTU,Dwarka-Sector 8,IGI Airport (T3),"IHBAS, Dilshad Garden",ITO,Jahangirpuri,Jawaharlal Nehru Stadium,Lodhi Road,Major Dhyan Chand National Stadium,Mandir Marg,Mundka,Najafgarh,Narela,Nehru Nagar,"North Campus, DU",NSIT Dwarka,Okhla Phase-2,Patparganj,Punjabi Bagh,Pusa,R K Puram,Rohini,Shadipur,Sirifort,Sonia Vihar,Sri Aurobindo Marg,Vivek Vihar,Wazirpur
01-06-2020 00:00,37.02,52.7,49.37,42.88,65,37.91,50.6,35.62,42.45,35.69,38.78,42.04,76.84,46.6,38.35,43.31,41.92,32.31,40.4,37.08,46.17,54.61,38.15,52.43,47.62,41.85,58.89,30.3,26.88,51.47,27.36,43.44,44.38,39.42,50.48,37.91
02-06-2020 00:00,43.68,61.58,40.05,41.12,60.17,39.25,44.06,28.46,54.92,39.35,38.07,43.33,75.9,63.5,36.33,38.42,40.66,33.09,40.33,35.09,52.03,44,46.43,54.02,45.17,39.41,49.32,34.16,25.06,57.17,33.19,44.12,50.3,40.21,49.77,39.25
03-06-2020 00:00,49.29,77.2,58.77,36.37,58.77,53.42,54.52,42.43,53.65,39.91,41.37,66.98,91.54,60.2,43.44,46.16,48.01,49.73,57.56,25.06,56.79,52.96,47.2,60.59,47.15,48.94,64.95,41.65,29.69,54.79,45.81,49.35,52.24,40.81,46.76,53.42
04-06-2020 00:00,62.35,96.36,77.05,42.93,97.77,81.44,61.63,45.19,72.8,68.01,48.12,76.5,101.11,73.68,51.34,107.84,50.6,64.96,103.33,66.94,71.6,56,55.83,75.09,59.31,62.99,81.46,56.54,32.35,86.44,64.52,55.79,65.44,56.67,83.92,81.44
05-06-2020 00:00,51.51,57.98,43.96,32.12,53.57,43.35,45.51,38.03,50.4,31.14,33.4,44.67,94.99,47.82,32.94,48.33,41,39.86,41.27,33.71,48.21,42.7,54.29,47.02,43.71,40.57,46.75,30.44,19.54,46.56,29.32,33.34,47.02,32.52,49.02,43.35
06-06-2020 00:00,47.06,43.73,34.31,32.75,52.9,37.79,32.14,28.08,36.8,32.67,29.75,34.45,84.76,40.11,25.02,39.08,27.78,28.63,34.29,30.73,47.02,27.06,33.8,46.79,29.02,25.15,34.83,25.23,15.55,43.96,32.57,30.61,35.75,30.67,32.75,37.79
07-06-2020 00:00,45.75,53.08,36.79,40.86,52.88,35.56,42.65,36.91,35.91,37.99,39.78,39.45,94.94,40.62,32.1,40.2,37.04,35.34,37.62,29.3,50.26,46.3,33,53.32,40.17,34.23,39.07,30.96,22.39,40.88,18.51,36.6,34.86,37.3,43.65,35.56
08-06-2020 00:00,46.48,68.74,52,40.24,57.42,52.56,50.87,40.94,48.67,41.54,40.01,69.62,102.37,56.06,36.82,53.09,39.95,47.06,46.79,35.53,54.14,44.25,47.9,60.96,43.56,41.35,50.64,37.66,25.98,56.6,32.16,39.93,42.55,31.34,70.1,52.56
09-06-2020 00:00,64.59,84.38,58.57,52.13,72.24,60.23,73.95,48.04,65.92,57.23,54.08,60.9,129.11,61.96,52.85,120.61,57.52,62.99,64.29,50.42,78.55,63.51,55.55,75.66,68.25,53.77,89.46,50.44,38.16,64.45,42.73,59.89,55.34,54.41,62.15,60.23
10-06-2020 00:00,64.51,92.68,53.54,40.12,62.88,53.67,68.2,45.54,66.16,39.96,40.92,77.28,117.65,61.14,46.81,85.89,50.29,62.54,47.96,30.68,72.41,59.05,48.7,61.56,58.79,56.94,63.3,45.06,35.35,56.11,41.45,56.46,69.52,47.41,71.11,53.67
