Date,Alipur,Anand Vihar,Ashok Vihar,Aya Nagar,Bawana,Burari Crossing,CRRI Mathura Road,Dr. Karni Singh Shooting Range,DTU,Dwarka-Sector 8,IGI Airport (T3),"IHBAS, Dilshad Garden",ITO,Jahangirpuri,Jawaharlal Nehru Stadium,Lodhi Road,Major Dhyan Chand National Stadium,Mandir Marg,Mundka,Najafgarh,Narela,Nehru Nagar,"North Campus, DU",NSIT Dwarka,Okhla Phase-2,Patparganj,Punjabi Bagh,Pusa,R K Puram,Rohini,Shadipur,Sirifort,Sonia Vihar,Sri Aurobindo Marg,Vivek Vihar,Wazirpur
25-03-2019 00:00,9.37,5.03,4.85,25.26,7.31,73.35,20.99,6.65,16.12,12.77,21.46,4.89,4.89,13.62,9.07,12.79,8.86,15.29,6.62,14.56,14.05,10.65,14.96,15.1,8.47,3.1,13.26,12.29,22.6,14.45,14.7,7.34,7.34,7.35,11.58,10.07
25-03-2019 08:00,54.52,19.19,68.57,43.34,56.4,70.12,33.99,44.65,55.94,70.94,22.63,20.97,20.97,65.64,66.78,26.2,62.37,24.78,24.96,94.66,61.06,71.12,21.84,54.66,39.7,35.48,33.94,35.15,82.12,62.07,44.37,47.06,47.06,96.07,70.9,52.53
25-03-2019 16:00,29.09,11.91,33.35,34.8,39.36,58.6,26.77,18.88,36.12,39.01,22.82,8.08,8.08,32.59,30.82,24.61,29.12,19.68,22.48,54.35,34.61,32.26,31.33,38.94,19.04,22.22,18.21,22.99,41.62,39.21,21.92,27.97,27.97,46.24,36.02,27.03
26-03-2019 00:00,6.25,4.53,2.87,23.68,8.72,56.2,18.85,4.11,15.66,7.74,22.33,5.03,5.03,11.56,4.96,12.51,4.56,14.36,15.02,4.66,11.88,4.82,21.46,14.8,6.68,3.09,10.38,7.33,13.15,13.7,11.63,7.81,7.81,2.26,12.09,9.2
26-03-2019 08:00,70.7,24.55,84.87,49.65,92.09,53.98,36.1,49.32,78.39,84.56,25.32,24.34,24.34,85.9,85.74,33.95,79.12,28.73,41.32,110.4,84.1,95.17,39.42,70.3,47.04,39.76,45.12,42.06,93.5,79.77,56.04,56.51,56.51,117.89,93.68,68.6
26-03-2019 16:00,37.19,19.1,29.87,37.49,40.77,46.53,22.65,23.24,44.53,58.29,26.97,10.84,10.84,50.46,32.31,36.54,28.08,21.92,32.95,64.45,43.69,35.72,52.23,44.13,16.98,17.5,25.38,15.27,36.65,39.86,30.44,36.88,36.88,61.47,56.55,23.71
27-03-2019 00:00,10.08,10.81,4.73,24.07,28.3,42.23,19.36,11.29,16.77,27.18,21.78,6.54,6.54,18.48,6.76,34.50666667,3.66,15.68,22.19,19.23,32.55,10.18,25.15,18.56,6.34,3.23,15.36,9.08,22.49,13.95,19.42,20.64,20.64,19.08,25.6,7.14
27-03-2019 08:00,78.65,28.4,100.68,52.37,105.72,33.71,37.71,62.08,82.95,94.55,28.21,28.01,28.01,99.36,96.23,32.47333333,95.11,31.76,64.83,122.9,96.4,104.31,45.24,77.73,50.16,52.15,62.39,45.04,112.73,84.11,68.88,67.01,67.01,142.93,104.7,75.73
27-03-2019 16:00,29.68,14.47,24.55,36.63,35.42,92.46,25.63,17.64,31.15,33.77,27.19,10.11,10.11,36,25.17,30.44,25.04,20.19,31.66,56.94,27.29,30.16,34.35,36.99,15.28,16.92,20.52,11.74,45.45,40.18,25.64,31.94,31.94,56.11,33.71,19.99
28-03-2019 00:00,3.28,1.42,2.89,19.73,2.51,80.53,22.19,2.15,4.78,1.97,22.96,3.3,3.3,15.08,1.14,28.40666667,1.51,12.96,12.69,3.34,3.47,0.59,31.37,8,5.64,1.48,7.94,3.61,15.14,6.57,8.4,7.07,7.07,0.96,3.26,4.78
28-03-2019 08:00,95.89,39.95,130.48,59.39,124.49,68.6,46.77,75.21,81.01,101.62,22.5,31.24,31.24,135.69,106.99,26.37333333,104.72,37.12,58.29,130.23,114.52,120.11,43.32,85.66,64.68,64.78,71.98,69.12,127.58,99.17,84.12,85.8,85.8,138.18,111.84,113.21
28-03-2019 16:00,34.16,18.24,35.15,37.7,39.08,41.6,37.86,22.24,25.32,37.75,22.8,10.1,10.1,34.76,34.14,24.34,31.08,20.52,27.86,58.6,33.39,44.9,31.06,50.37,19.93,23.59,22.52,15.02,39.89,40.92,29.69,32.99,32.99,46.78,37.67,25.04
29-03-2019 00:00,3.89,20.285,3.25,20.19,3.46,28.11,29.24,2.74,5.28,1.7,23.87,3.22,3.22,24.99,1.57,22.30666667,1.12,12.41,13.46,3.67,3.21,8.72,25.64,9.19,12.39,1.51,11.48,4.91,12.25,42.42,9,4.61,4.61,0.75,2.71,4.54
29-03-2019 08:00,77.54,22.33,121.23,60.55,108.58,22.85,52.04,76.21,72.49,110.49,22.62,32.37,32.37,118.77,108.4,20.27333333,92.34,32.8,26.69,139.72,97.91,132.24,56.43,80.52,67.09,69.97,55.16,64.92,113.04,93.84,77.72,73.88,73.88,138.83,114.65,104.14
29-03-2019 16:00,26.12,9.72,24.61,35.62,47.63,105.2,31.46,15.17,20.19,37.23,21.36,6.23,6.23,29.57,22.69,18.24,18.45,17.62,28.3,49.11,29.45,31.76,27.1,46.17,15.33,22.16,17.11,14.83,36.37,39.26,22.34,26.58,26.58,40.53,37.05,19.7
30-03-2019 00:00,5.13,11.75,2.32,20.45,24.18,102.42,48.92,10.11,28.11,1.57,22.8,2.92,2.92,7.3,0.88,13.25,0.98,12.94,33.56,3.8,6.82,7.51,24.15,11.1,27.24,2.32,7.51,3.52,12.36,34.29,8.59,3.62,3.62,2.62,3.53,4.56
30-03-2019 08:00,106.57,13.78,132.2,55.95,132.4,71.3,60.87,65.31,77.22,113.6,24.58,32.79,32.79,119.48,89.81,42.11,100.02,32.28,60.61,140.58,120.8,111.96,62.56,76.29,68.17,61.3,64.66,82.68,100.2,118.73,86.68,74.64,74.64,113.55,105.44,108.29
30-03-2019 16:00,48.74,51.71,47.06,47.96,64.39,120.24,43.11,31.43,25.73,54.78,23.78,9.85,9.85,46.64,41.06,27.07,33.26,19.53,19.5,69.33,49.22,40.89,33.69,39.4,26.53,35.35,23.17,34.46,39.66,107.41,33.25,30.05,30.05,29.49,46.53,37.18
31-03-2019 00:00,11.96,37.84,5.89,25.6,34.04,105.99,25.33,9.21,11.73,31.46,20.87,6.9,6.9,19.1,7.36,12.33,10.29,14.92,11.57,23.71,24.58,14,20.28,25.47,8.37,17.36,14.3,12.32,21.03,106.112,16.92,5.03,5.03,15.23,28.56,16.81
31-03-2019 08:00,72.64,23.97,89.34,51.57,109.03,108.17,33.82,54.2,78.91,98.13,21.39,30.13,30.13,93.05,86.19,29.94,80.42,28,76.49,119.29,93.21,103.42,47.68,73.49,47.47,52.83,47.33,53.21,83.38,104.814,61.49,62.11,62.11,121.92,95.74,72.4
31-03-2019 16:00,52.65,25.31,40.8,42.48,67.57,109.43,20.29,29.6,53.61,70.79,22.71,20.06,20.06,61,54.42,32.82,52.89,25.93,54.18,75.07,60.13,60.23,45.41,52.4,26.3,29.52,35.4,28.26,55.03,103.516,46.79,50.5,50.5,80.13,65.52,40.52
01-04-2019 00:00,24.37,18.65,12.7,36.05,35.97,111.33,16.44,28.43,25.67,29.92,22.82,10.61,10.61,30.99,27.81,24.32,29.11,19.77,23.27,22.1,46.36,34.54,32.09,21,16.72,15.9,24.64,25.79,36.93,102.218,30.85,26.91,26.91,43.51,42.55,19.86
01-04-2019 08:00,79.68,31.23,98.79,51.59,121.74,94.34,32.71,60.88,74.8,96.81,21.71,28.12,28.12,106.78,98.19,36.86,91.62,31.2,110.32,130.99,26.94,113.56,54.1,76.03,51.6,54.11,55.36,55.53,89.89,100.92,67.38,76.94,76.94,131.35,104.78,79.08
01-04-2019 16:00,48.91,27.17,46.06,45.31,83.8,37.38,22.99,30.92,69.92428571,85.33,24.49,16.95,16.95,47.82,60.59,37.95,59.89,23.58,74.74,90.77,7.52,71.3,42.51,68.82,23.15,32.97,31.66,32.43,50.77,67.7,39.41,48.76,48.76,68.68,58.38,33.64
02-04-2019 00:00,5.96,5.61,2.05,22.17,25.56,40.26,20.42,6.09,65.04857143,10.95,22.69,3.03,3.03,8.51,1.71,12.54,2.49,12.61,11.71,12.16,1.77,2.23,23.59,13.16,4.45,1.83,12.15,3.85,12.08,8.37,10.92,11.17,11.17,5.91,8.24,5.33
02-04-2019 08:00,110.12,55.72,145.45,68.7,152.58,55.76,49.91,85.81,60.17285714,111.42,22.83,32.15,32.15,138.92,122.36,48.97,116.04,36.76,128.03,149.56,105.68,124.12,76.77,96.13,71.46,71.49,72.86,73.16,106.88,134.38,89.4,95.71,95.71,136.98,150.66,100.37
02-04-2019 16:00,42.18,22.85,44.28,42.79,71.76,40.78,31.7,21.11,55.29714286,69.86,25.22,12.72,12.72,85.02,40.47,27.49,46.92,21.95,67.71,92.04,61.44,55.97,76.64,61.13,19.31,31.98,28.42,22.21,39.48,61.4,38.46,45.01,45.01,49.33,56.79,31.1
03-04-2019 00:00,8.21,8.04,10.54,24.37,27.9,36.97,25.89,6.71,50.42142857,16.75,22.27,5.57,5.57,13.48,2.86,11.95,6.91,15.22,16.67,19.63,30.45,1.1,25.78,21.73,4.54,7.51,16.98,5.06,12.01,13.8,14.49,8.6,8.6,9.94,18.48,7.16
03-04-2019 08:00,93.31,34.93,124.42,59.65,136.05,39.31,39.15,70.94,45.54571429,106.06,19.74,31.76,31.76,122.5,120.9,43.77,115.34,35.56,116.49,135.38,123.6,132.4,63.06,89,62.3,69.73,63.62,59.1,104.48,123.16,75.68,101.54,101.54,157.31,135.99,90.66
03-04-2019 16:00,44.21,15.6,35.61,41.62,54.21,42.78,45.06,19.16,40.67,41.5,17.3,9,9,39.44,32.82,21.14,31.79,20.18,32.85,74.33,39.19,44.43,35.3,50.86,20.75,25.43,22.07,22.59,33.85,87.23,29.2,40.82,40.82,46.41,38.25,26.05
04-04-2019 00:00,3.24,59.73,4.01,25.47,20.08,46.69,106.05,7.23,12.76,3.8,16.05,2.89,2.89,7.94,9.52,13.52,2.72,13.6,30.25,3.34,6.45,98.45,26.51,19.3,59.54,22.6,7.67,9.91,14.63,31.18,6.79,5.04,5.04,19.35,19.93,5.48
04-04-2019 08:00,126.15,43.58,130.02,67.19,124.03,76.76,45.39,70.02,103.6,125.91,34.69,35.41,35.41,132.15,117.42,52.49,121.36,41.29,77.04,166.71,137.58,142.32,98.76,105.26,63.85,82.53,82.18,78.28,116,131.9,95.15,132.08,132.08,159.61,133.79,125.12
04-04-2019 16:00,59.5,24.14,57.31,44.09,91.49,76.71,32.51,16.19,53.22,55.39,29.33,15.71,15.71,58.48,35.67,24.64,47.48,22.93,35.73,94,64.02,68.15,50.27,63.88,16.34,37.31,29.28,20.11,39.86,69.02,42.84,63.63,63.63,54.12,65.91,39.14
05-04-2019 00:00,3.63,104.56,3.95,23.23,3.8,81.96,31.81,2.57,15.03,1.79,15.83,2.88,2.88,8.02,1.68,12.33,1.57,12.08,7.47,10.05,4.73,3.76,26.3,9.02,5.47,4.55,9.91,3.79,12.44,5.65,5.47,4.83,4.83,1.43,4.09,5.01
05-04-2019 08:00,122.66,47.4,119.64,74.64,127.08,115.29,62.31,79.27,109.64,115.91,80.61,46.74,46.74,136.55,69.65,81.16,98.35,50.93,96.73,158.53,103.35,94.77,121.65,110.05,81.2,108.59,106.6,111.92,123.05,131.85,126.38,133.88,133.88,126.12,125.49,108.43
05-04-2019 16:00,38.36,18.11,32.63,47.87,45.52,66.61,39.36,33.88,44.14,47.84,29.07,11.56,11.56,37.76,30.49,32.79,36.14,21.1,23.16,87.17,31.47,37.14,36.95,41.05,133.28,27.28,23.89,23.59,40.89,44.61,32.41,35.59,35.59,42.2,30.31,22.18
06-04-2019 00:00,6.23,10.87,8.77,25.02,8.67,73.92,26.06,3.47,23.4,5.04,14.68,3.1,3.1,15.15,5.73,13.14,2.55,12.27,7.02,19.24,8.3,6.44,27.14,8.53,105.395,4.64,8.89,5.81,12.28,29.47,8.68,13.31,13.31,6.3,5,6.15
06-04-2019 08:00,89.5,34.3,116.87,68.98,116.06,76.18,49.19,49.06,99.32,102.36,52.87,32.58,32.58,125.54,117.88,50.88,113.18,30.98,31.55,126.17,108.7,117.4,73.79,75.56,77.51,70.83,55.17,73.73,95.17,119.25,81.79,111.16,111.16,134.58,109.11,100.23
06-04-2019 16:00,30.83,33.06,22.73,39.13,45.55,70.46,25.48,12.45,67.7,39.83,25.18,7.6,7.6,26.83,42.18,23.93,94.66,22.78,8.88,53.79,37.61,29.69,38.05,38.7,18.73,30.73,19.38,29.44,33.33,46.48,26.17,33.72,33.72,39.03,22.4,20.28
07-04-2019 00:00,2.82,100.53,15.95,26.59,8.84,131.98,33.7,3.6,35.31,4.75,22.73,2.99,2.99,16.07,30.29,26.57,76.14,26.12,9.78,4.13,5.13,28.53,73.13,21.52,7.91,20.21,48.87,99.59,13.14,28.07,12.16,10.51,10.51,2.01,34.07,20.61
07-04-2019 08:00,59.38,107.6066667,91.88,56.61,74,159.57,24.74,26.62,69.71,93.52,42.57,18.65,18.65,93.29,62.95,18.13,57.62,21.38,7.32,135.63,63.42,53.75,45.32,55.29,34.56,36.76,45.58,75.62,67.79,104.77,71.55,79.13,79.13,84.19,75.82,55.32
07-04-2019 16:00,49.71,114.6833333,58.39,47.02,51.09,116.76,23.68,23.44,57.59,60.63,32.39,12.19,12.19,51.03,37.91,25.48,34.09,18.53,5.41,79.7,53.42,37.32,47.63,47.06,27.81,29.15,28.6,45.9,47.58,60.79,51.44,58.85,58.85,53.11,54.34,35.87
08-04-2019 00:00,9.25,121.76,8.59,27.59,21.31,80.6,22.51,7.01,24.97,6.66,15.38,3.35,3.35,15.53,7.8,14.28,5.66,13.13,12.83,24.3,12.68,6.43,24.09,10.37,9.96,13.63,12.16,7.26,15.61,23.05,12.06,25.49,25.49,3.36,19.36,6.88
08-04-2019 08:00,97.48,17.49,94.97,57.67,99.6,93.06,17.22,46.23,90.1,97.66,39.08,29.43,29.43,88.58,99.12,43.17,88.22,27.59,41.72,137.56,106.36,104.16,46.75,72.03,64.45,62.52,54.01,73.35,93.53,105.1,80.94,101.34,101.34,114.32,96.1,97.42
08-04-2019 16:00,36.07,22.58,42.49,44.08,42.99,105.66,26.69,22.88,60.87,47.12,23.53,9.62,9.62,42.55,35.25,24.89,26.55,18.77,33.37,57,41.9,37.4,49.49,50.67,24.65,24.86,19.24,43.11,31.82,50.07,35.82,46.82,46.82,40.8,59.76,22.07
09-04-2019 00:00,2.52,58.31,25,23.53,5.66,93.3,33.19,3.76,20.84,4.49,15.45,2.99,2.99,18.41,3.54,13.91,9.01,24.64,44.09,6.02,5.16,2.05,54.99,24.35,5.8,21.26,18.5,41.04,12.63,10.59,7.85,16.31,16.31,2.07,29.05,17.11
09-04-2019 08:00,123.68,57.52,112.1,68.91,91.92,92.66,43.55,50.81,94.39,123.02,53.68,36.55,36.55,99.71,103.48,53.38,100.99,31.78,65.03,132.18,137.7,109.35,67.14,106.4,75.22,83.74,74.22,101.56,123.61,102.18,100.33,120.01,120.01,118.93,123.43,101.73
