Date,Alipur,Anand Vihar,Ashok Vihar,Aya Nagar,Bawana,Burari Crossing,CRRI Mathura Road,Dr. Karni Singh Shooting Range,DTU,Dwarka-Sector 8,IGI Airport (T3),"IHBAS, Dilshad Garden",ITO,Jahangirpuri,Jawaharlal Nehru Stadium,Lodhi Road,Major Dhyan Chand National Stadium,Mandir Marg,Mundka,Najafgarh,Narela,Nehru Nagar,"North Campus, DU",NSIT Dwarka,Okhla Phase-2,Patparganj,Punjabi Bagh,Pusa,R K Puram,Rohini,Shadipur,Sirifort,Sonia Vihar,Sri Aurobindo Marg,Vivek Vihar,Wazirpur
01-06-2019 00:00,327.48,369.44,333,209.36,283.49,244.79,297.27,249.75,913.39,404.26,262.5742857,241.79,241.79,310.74,291.8,229.9,252.82,256.35,398.94,159.35,345.65,253.03,293.6894118,404.26,268.01,307.22,273.73,255.67,256.52,308.58,255.67,333.69,330.33,264.74,318.54,420.92
02-06-2019 00:00,210.97,237.9,252.29,205.89,149.66,166.72,218.02,208.25,244.43,313.14,254.2764286,187.66,187.66,223.06,234.22,203.58,209.44,222.46,260.65,160.21,240.62,205.33,288.0052941,313.14,215.83,245.78,240.62,206.53,205.2,231.33,206.53,253.38,233.33,244.91,221.73,307.18
03-06-2019 00:00,321.68,341.61,349.21,242.13,301.03,214.1,302.33,305.54,325.35,394.08,245.9785714,235.45,235.45,309.65,334.05,286.83,280.1,285.58,350.27,215.98,347.4,281.73,282.3211765,394.08,306.48,321.92,292.76,299.41,280.12,299.45,299.41,329.06,314.67,350.94,326.56,406.23
04-06-2019 00:00,168.42,184.2,192.35,152.18,203.17,136.98,162.59,149.5,185.48,272.81,237.6807143,145.36,145.36,173.17,183.59,150.92,155.62,170.62,219.44,139,207.02,153.26,276.6370588,272.81,172.1,170.98,168.23,168.55,155.52,176.72,168.55,210.61,208.67,196.2,182.42,264.5
05-06-2019 00:00,225.17,239.83,244.75,198.75,272.32,174.55,220.6,198.79,220.46,321.54,229.3828571,179.66,179.66,217.5,220.54,179.87,190.48,196.17,266.04,156.75,266.52,204.69,270.9529412,321.54,216.27,195.21,199.09,186.78,199.61,213.15,186.78,247.11,241.33,233.84,212.19,266.06
06-06-2019 00:00,268.73,284.06,263.79,197.9,258.72,199.31,237.85,205.21,216.83,376.75,221.085,177.65,177.65,243.25,226.05,189.28,211.42,216.71,281.81,138.25,274.6,191.07,265.2688235,376.75,222.65,215.58,216.05,219.79,201.6,245.16,219.79,268.44,224.8,200.73,245.44,310.67
07-06-2019 00:00,139.85,165.27,172.9,154.36,181.91,129.47,152.43,144.34,157.04,263.72,212.7871429,132.77,132.77,149.5,155.09,136.31,145.86,159.54,181.5,113.81,181.36,139.5,259.5847059,263.72,165.06,151.2,144.66,146.01,140.05,145.06,146.01,209.13,175.84,171.49,154.54,206.92
08-06-2019 00:00,261.33,257.33,210.31,145.51,224.65,156.13,226.59,150.09,154.11,337.33,204.4892857,167.46,167.46,198.18,181.69,133.15,196.44,181.62,310.59,114.79,235.1,173.24,253.9005882,337.33,209.81,154.76,172.96,166.66,190.24,193.5,166.66,230.65,195.93,155.36,189.66,258
09-06-2019 00:00,290.88,411.76,310.56,206.01,324.67,206.91,328.85,199.51,283.61,526.91,196.1914286,204.36,204.36,290.72,244.61,197.4,294.7,223.1,494,149.75,301.81,224.19,248.2164706,526.91,269.1,223.51,251.12,224.88,238.52,320.17,224.88,280.72,207.38,222.69,265.9,388.6
10-06-2019 00:00,286.51,384.26,272.09,165.7,268.22,214.44,287.97,165.07,252.29,349.04,187.8935714,172.75,172.75,272.66,217.53,162.32,226.85,201.82,548.18,142.31,300.52,185.48,242.5323529,349.04,220.24,186.49,193.52,210.68,227.19,256.96,210.68,329.81,252.4,196.27,224.07,343.04
