Date,Alipur,Anand Vihar,Ashok Vihar,Aya Nagar,Bawana,Burari Crossing,CRRI Mathura Road,Dr. Karni Singh Shooting Range,DTU,Dwarka-Sector 8,IGI Airport (T3),"IHBAS, Dilshad Garden",ITO,Jahangirpuri,Jawaharlal Nehru Stadium,Lodhi Road,Major Dhyan Chand National Stadium,Mandir Marg,Mundka,Najafgarh,Narela,Nehru Nagar,"North Campus, DU",NSIT Dwarka,Okhla Phase-2,Patparganj,Punjabi Bagh,Pusa,R K Puram,Rohini,Shadipur,Sirifort,Sonia Vihar,Sri Aurobindo Marg,Vivek Vihar,Wazirpur
25-03-2020 00:00,71.72,72.58,69.69,59.16,91.69,82.5,73.11,59.06,78.72,75.9,67.93,103.28,103.28,98.12,63.58,59.42,58.68,63.006,83.33,104.6546667,102.92,69.17,59.67,75.9,68.81,62.83,71.33,58,59.91,79.94,58,61.05,66.49,43.12,75.92,82.5
26-03-2020 00:00,90.04,69.08,81.48,59.47,112.91,75.4125,66.91,62.95,98.88,78.86,51.76,61.87,61.87,114.31,68.92,60.74,62.02,47.868,103.38,104.3093333,115.16,74.93,69.34,78.86,70.1,67.54,91.42,80.88,66.8,106.07,80.88,70.79,74.08,47.42,80.81,75.4125
27-03-2020 00:00,40.51,39.87,44.81,33.08,58.87,68.325,38.32,37.94,64.81,47.51,33.98,72.54,72.54,52.79,42.92,36.4,38.15,32.73,44.1,103.964,54.01,47.93,45.81,47.51,41.29,36.87,48.85,39.07,44.93,51.05,39.07,57.17,37.17,33.91,66.67,68.325
28-03-2020 00:00,34.13,39.44,34.7,25.51,49.08,61.2375,42.58,27.14,65,38.44,29.04,68.76,68.76,63.29,29.22,27.08,26.76,31.35,42.42,103.6186667,61.29,38.4,42.89,38.44,32.47,21.11,41,33.73,32.32,53.36,33.73,32.45,30.44,19.81,67.75,61.2375
29-03-2020 00:00,60.75,64.57,51.94,45.03,84.41,54.15,55.12,50.41,81,71,49.17,66.25,66.25,75.62,52.52,47.85,43.43,50.47,76.92,103.2733333,84.84,55.42,52.17,71,51.08,35.24666667,59.84,48.5,53.79,75.52,48.5,51.72,45.61,37.54,59,54.15
30-03-2020 00:00,80.21,65.71,60.85,49.03,103.25,65.56,66.06,58.66,95.09,82.09,51.64,66.31,66.31,94.17,61.04,53.48,55.32,58.88,92.52,102.928,95.75,71.58,54.96,82.09,61.51,49.38333333,71.53,64.62,63.7,90.92,64.62,50.29,54.58,45.46,63.31,65.56
31-03-2020 00:00,73.88,76.67,65.32,52.98,107.21,68.5,61.93,57.39,78.28,72.66,51.92,53.51,53.51,96.12,61.46,53.93,51.92,55.6,78.62,102.5826667,141.12,67.01,54.44,72.66,59.94,63.52,69.44,65.75875,57.2,90.88,65.75875,61.73,63.02,42.94,69.82,68.5
01-04-2020 00:00,77.25,73.99,74.19,51.12,99.88,80.62,63.33,56.31,86.15,68.43,52.73,68.08,68.08,93.33,55.66,55.1,54.34,59.89,84.1,102.2373333,144.4842857,62.47,70.77,68.43,57.64,59.46,79.88,66.8975,57.44,91.96,66.8975,58.38,65.84,43.4,66.67,80.62
02-04-2020 00:00,66.81,69.65,61.58,45.37,102.86,67.62,50.12,50.64,76.61,67.15,59.12,56.29,56.29,92.62,51.51,48.77,55.27333333,58.99,76.85,101.892,147.8485714,57.5,59.83,67.15,53.83,52.52,60.17,68.03625,61.7,87.07,68.03625,53.95,60.52,40.27,63.97,67.62
03-04-2020 00:00,82.56,70.56,60.9,48.68,112.8,64.33,57.77,58.58,86.72,78.72,54.94,31.55,31.55,94.21,59.26,45.06,56.20666667,54.28,108.69,101.5466667,151.2128571,65.45,59.15,78.72,61.65,52.06,65.75,69.175,68.86,101.53,69.175,61.44,55.08,44.33,69.23,64.33
