Date,Alipur,Anand Vihar,Ashok Vihar,Aya Nagar,Bawana,Burari Crossing,CRRI Mathura Road,Dr. Karni Singh Shooting Range,DTU,Dwarka-Sector 8,IGI Airport (T3),"IHBAS, Dilshad Garden",ITO,Jahangirpuri,Jawaharlal Nehru Stadium,Lodhi Road,Major Dhyan Chand National Stadium,Mandir Marg,Mundka,Najafgarh,Narela,Nehru Nagar,"North Campus, DU",NSIT Dwarka,Okhla Phase-2,Patparganj,Punjabi Bagh,Pusa,R K Puram,Rohini,Shadipur,Sirifort,Sonia Vihar,Sri Aurobindo Marg,Vivek Vihar,Wazirpur
01-06-2020 00:00,55.36,83.59,60.39,76.73,128.77,60.46,105.15,77.27,93.57,119.29,83.98,102.35,102.35,82.5,77.1,114.91,78.1,56.88,89.77,72.66,115.22,91.36,77.01,119.29,93.56,64.76,105.54,61.85,81.34,101.1,61.85,94.85,80.9,60.1,96.14,60.46
02-06-2020 00:00,85.8,90.56,84.96,95.34,120.83,105.38,114.96,88.73,112.84,140.29,91.56,122.52,122.52,92.37333333,91.58,82.56,86.95,51.71,110.44,81.65,125.01,92.44,94.63,140.29,109.9,71.85,101.69,78.38,79.63,120.93,78.38,108.32,106.72,65.42,103.76,105.38
03-06-2020 00:00,113.04,106.61,106.47,103.62,141.02,121.02,142.63,112.33,121.36,163.48,105.06,137.97,137.97,102.2466667,111.59,103.74,105.27,66.29,142.96,83.58,146.96,112,110.56,163.48,119.88,90.02,138.93,95.08,92.2,134.17,95.08,131.45,121.76,71.67,117.8,121.02
04-06-2020 00:00,143.27,127.92,122.1,107.95,204.27,164.9,158.5,125.3,160.76,226.7,124.9,169.92,169.92,112.12,125.44,185.99,111.21,94.38,198.17,129.51,175.92,121.06,132.44,226.7,144.5,107.88,158.51,114.62,99.19,188.7,114.62,122.45,149.1,86.9,161.62,164.9
05-06-2020 00:00,101.91,76.52,83.96,62.25,111.72,100.4,93.37,79.12,108.14,117.99,73.51,132.81,132.81,117.22,75,73.24,79.88,62,112.62,65.75,116.46,86.84,96.89,117.99,98.71,66.21,86.67,63.88,59.04,109.19,63.88,81.06,104.39,46.38,95.08,100.4
06-06-2020 00:00,104.62,60.11,77.69,71.9,126.18,92.1,79.68,65.2,88.74,125.2,74.55,133.37,133.37,100.26,70.51,68.96,61.79,73.48,96.06,70.7,125.32,64.68,81.31,125.2,76.35,50.59,70.66,53.83,58.01,103.29,53.83,93.9,94.95,48.23,84.58,92.1
07-06-2020 00:00,90.89,75.23,77.9,87.38,120.17,83.65,100.22,80.63,88.5,104.84,89.84,148.54,148.54,100.9,82.02,76.28,79.35,102.48,84.92,66.86,134.54,90.09,86.36,104.84,96.58,62.78,84.39,66.6,73.54,95.58,66.6,83.83,95.33,69.81,104.67,83.65
08-06-2020 00:00,95.44,93.49,94.11,92.78,147.68,107.65,126.71,93.17,146.12,137.6,94.52,152.1,152.1,127.19,92.68,89.34,88.48,67.05,128.06,89.77,143.49,94.56,107.07,137.6,114.9,70.54,112.16,76.66,88.43,125.42,76.66,102.29,108.51,57.96,128.06,107.65
09-06-2020 00:00,135.93,113.24,115.95,134.71,199.93,131.1,180.1,143.46,186.94,222.2,134.12,236.5,236.5,160.42,135.28,172.06,123.9,81.6,199.25,136.26,205.32,138.5,124.29,222.2,184.69,91.38,184.75,110.94,121.08,161.53,110.94,142.22,147.78,91.83,136.79,131.1
10-06-2020 00:00,199.18,130.39,121.15,136.52,189.87,158.27,193.12,136.48,238.18,167.4,131.76,239.29,239.29,168.29,140.73,163.29,126.2,78.46,175.9,99.27,205.34,140.78,141,167.4,210.38,102.72,183.92,125.06,113.81,174.26,125.06,147.16,156.23,89.01,155.94,158.27
11-06-2020 00:00,181.545,116.55,113.8,112.81,169.08,120.96,164.53,123.52,166.79,197.81,128.8,288.14,288.14,161,129.89,165.22,123.14,87.2,157.92,110.61,191.88,136.98,109.49,197.81,146,92.36,131.52,100.81,121.36,153.9,100.81,128.61,139.05,79.35,162.74,120.96
12-06-2020 00:00,163.91,118.41,111.98,148.01,212.21,134.27,146.17,131.57,167.7,205.71,154.52,241.84,241.84,167.25,144.99,135.24,132.65,88.17,233.98,160.96,238.35,140.66,133.11,205.71,145.9714286,96.66,151.84,115.92,124.29,171.86,115.92,154.16,157.77,93.33,147.96,134.27
13-06-2020 00:00,159.79,119.75,95.68,131.6,200.54,118.52,157.25,139.44,128.18,168.24,112.18,110.92,110.92,137.47,143.76,93.83,126.7,74.28,160.29,120.04,202.78,136.96,140.45,168.24,145.9428571,98.62,126.84,106.86,112.3,139.49,106.86,152.16,134.7,88,157.21,118.52
14-06-2020 00:00,119.74,137.09,96.76,148.46,188.87,135.12,169.58,149.6,159.86,164.86,115.6933333,127.16,127.16,173.47,152.46,139.37,144.6,87.6,173.44,156.51,218.53,150.45,140.51,164.86,145.9142857,105.58,156,118.77,126.56,174.46,118.77,163.24,161.54,94.76,181.79,135.12
15-06-2020 00:00,127.9,101.24,132.33,111.91,160.38,122.1,137.56,109.31,155.04,161.51,119.2066667,99.8,99.8,153.03,121.62,103.8,113.61,72.09,165.75,135.13,172.36,119.62,99.84,161.51,145.8857143,78.11,114.05,101.33,96.58,147.66,101.33,137.7,144.83,78.5,135.27,122.1
16-06-2020 00:00,110.81,84.98,124.85,100.9,167.12,106.1,109.44,97.09,121.97,151.09,122.72,78.18,78.18,113.26,107.04,96.21,95.47,66.01,134.71,98.86,155.65,103.09,83.32,151.09,145.8571429,66.62,93.83,81.6,90.77,127.59,81.6,155.03,112.38,64.14,105.57,106.1
