Date,Alipur,Anand Vihar,Ashok Vihar,Aya Nagar,Bawana,Burari Crossing,CRRI Mathura Road,Dr. Karni Singh Shooting Range,DTU,Dwarka-Sector 8,IGI Airport (T3),"IHBAS, Dilshad Garden",ITO,Jahangirpuri,Jawaharlal Nehru Stadium,Lodhi Road,Major Dhyan Chand National Stadium,Mandir Marg,Mundka,Najafgarh,Narela,Nehru Nagar,"North Campus, DU",NSIT Dwarka,Okhla Phase-2,Patparganj,Punjabi Bagh,Pusa,R K Puram,Rohini,Shadipur,Sirifort,Sonia Vihar,Sri Aurobindo Marg,Vivek Vihar,Wazirpur
25-03-2019 00:00,70.47,73.02,67.29,42.36,86.86,58.63,51.72,57.22,74.98,83.02,57.5,72.15,69.69,85.21,59.15,45.42,55.2,57.2,82.42,84.19,71.19,63.8,69.62,80.91,61.19,51.35,61.4,60.68,82.51,77.54,50.93,72.35,66.78,61.69,65.15,69.92
26-03-2019 00:00,76.51,72.42,88.12,50.29,115.64,68.98,66.71,62.42,93.79,92.74,65.85,74.39,69.39,104.04,63.72,49.28,61.92,61.86,114.81,96.9,81.72,72.39,84.68,101.01,63.23,60.04,70.31,75.17,94.99,99.5,62.31,74.84,73.19,75.54,63.62,91.63
27-03-2019 00:00,98.78,80.28,91.77,45.64,130.91,77.26,79.14,61,105.55,74.14,57.7,78.79,69.94,123.42,62.45,48.33666667,59.6,56.28,114.98,63.99,92.54,94.85,86.58,88.1,67.6,63.06,65.38,64.92,81.11,105.17,88.25,89.76,72.66,50.94,68.15,95.17
28-03-2019 00:00,148.39,158.64,157.31,58.68,179.11,137.51,117.37,73.23,140.32,97.67,84.27,131.22,114.49,151.71,89.92,47.39333333,90.7,86.24,148.29,67.71,125.08,105.56,140.89,124.05,94.29,101.92,122.05,74.67,126.21,151.62,166.67,99.18,131.49,69.29,135.65,156.23
29-03-2019 00:00,107.68,187.6,105.08,69.15,122.08,128.37,121.16,86.97,113.91,101.54,91.24,188,121.56,153.08,79.1,46.45,80.48,79.7,118.54,111.36,88.93,88.68,113.13,127.49,121.31,97.6,99.38,76.88,160.57,142.86,146.51,105.22,85.12,74.83,180.07,115.58
30-03-2019 00:00,114.74,153.15,100.15,69.45,120.81,107.91,115.53,73.33,105.69,97.01,84.55,161.76,148.3,114.25,78.8,76.03,84.04,80.79,102.44,86.42,98.93,85.48,117.8,110.85,97.25,97.26,83.81,74.75,66.5,120.49,137.19,100.59,99.68,73.12,134.21,106.48
31-03-2019 00:00,56.22,59.08,56.69,39.52,74.33,61.85,61.97,43.6,54.74,52.25,51.51,77.67,58.73,89.17,50.9,45.85,49.42,46.9,86.33,67.85,54.33,50.31,64.35,85.48,47.31,46.12,46.61,45.77,55.91,93.12,88.7,56.66,48.29,47.9,47.92,57.91
01-04-2019 00:00,54.83,53.22,65.1,30.48,85.12,61.32,47.35,44.4,50.54,71.96,48.62,57.87,63.07,91.88,58.73,46.65,58.97,53.8,92.21,58.81,71.62,57.92,57.16,83.55,52.75,49.82,60.14,60.3,56.1,65.75,75.79,61.24,44.33,49.56,42.24,77.97
02-04-2019 00:00,114.1,104.16,100.29,67.98,158.46,94.19,98.36,72.48,69.6,91.49,72.71,106.27,94.21,138.74,68.08,56.14,73.38,70.59,116.21,73.77,110.96,76.52,93.57,92.39,84.81,77.34,90.17,62.71,49.13,144.25,97.95,82.19,97.22,60.31,88.43,126.74
03-04-2019 00:00,97.81,96.31,95.12,70.08,135.96,72.36,89.22,71,88.66,104.85,77.82,87.4,83.72,116.18,63.58,72.89,63.39,70.54,129.46,72.98,110.85,70.41,81.92,85.47,83.35,67.59,81.78,62.98,44.6,123.25,124.1,77.23,85.84,57.15,85.22,106.17
04-04-2019 00:00,140.83,155.54,123.06,74.62,139.53,134.65,138.84,100.6,122.71,101.4,96.65,157.15,154.73,135.36,94.15,85.1,96.79,96.27,151.1,86.15,126.77,121.16,142.71,122.57,128.48,119.44,99.82,77.47,58.65,129,154.49,110.99,118.5,87.71,140.73,147.4
05-04-2019 00:00,138.09,182.66,123.73,74.99,160.52,146.78,145.36,103.26,120.61,131.19,94.68,179.51,134.37,148.88,94.73,82.8,96.59,104.99,146.04,95.42,138.7,108.47,151.56,153.36,182,105.59,104.53,80.2,60.47,135.75,167.47,125.77,128.21,87.85,148.94,142.94
06-04-2019 00:00,99.81,126.6,139.91,59.19,121.76,117.19,93.52,72.08,104.93,86.42,69.5,137.54,100.42,145.54,73.47,60.94,99.74,82.39,102.74,61.49,105.85,103.22,129.92,119.44,89.27,85.34,82.78,62.83,60.74,115.21,171.65,87.48,116.17,60.09,105.31,125.06
07-04-2019 00:00,150.85,151.64,174.84,82.45,185.84,171.43,144.47,129.55,161.95,129.97,141.44,193.41,175.5,240.08,119.71,100.82,120.2,140.69,142.81,144.3,193.42,117.79,174.03,194.34,120.6,119.23,141.97,117.56,73.9,183.67,236.84,139.7,162.54,113.97,128.12,195.46
08-04-2019 00:00,80.16,91.15,110.79,42.95,95.17,102.25,71.31,76.29,76.78,56.09,82.39,147.88,83.18,127.83,59.75,46.98,73.05,57.51,56.42,49.38,111.9,62.98,85.07,124.87,73.46,67.09,57.67,48.15,69.78,78.54,146.63,73.74,93.42,57.93,75.66,88.38
09-04-2019 00:00,114.05,102.12,97.53,62.47,137.6,128.14,83.49,69.88,121.83,68.09,72.18,112.41,90.85,126.92,70.56,64.04,73.18,64.29,102.85,58.02,125.96,73.42,123.24,91.32,78.15,73.78,81.85,55.75,63.38,128.21,118.35,75.66,106.11,63.61,92.74,116.06
10-04-2019 00:00,95,149.35,102.84,70.85,115.62,97.57,115.19,76.33,99.35,90.05,94.02,132.29,102.92,131,72.25,63.03,72.68,85.39,105.81,92.81,58.83,97.8,113.98,120.39,91.47,86.67,88.61,72,60,111.46,133.57,88.12,91.01,68.94,151.8,113.44
11-04-2019 00:00,72.18,88.56,81.23,51.87,79.54,93.52,77.31,60.5,72.26,69.8,65.94,112.5,69.17,93,49.78,44.57,58.31,55.88,74.06,68.32,80.6,56.03,75.14,101.08,69.35,56.14,60.05,52.69,60.71,75.17,110.46,64.95,64.85,47.42,85.42,76.31
12-04-2019 00:00,43.72,83.48,76.31,36.27,63.91,56.87,60.76,54.54,55.42,51.86,35.74,106.63,68.74,91.08,45.51,48.26,63.14,48.73,57.6,59.93,55.42,48.79,62.3,109.22,57.04,58.52,45.44,43.75,61.7,55.21,108.13,63.69,63.78,45.2,80.75,59.79
13-04-2019 00:00,45.21,69.25,64.34,39.86,65.99,51.28,50.75,44.5,26.45,52.36,36.89,67.34,49.58,72.17,36.7,33.66,47.22,39.1,85.31,71.52,60.25,40.18,52.7,89.11,46.52,42.39,43.62,40.5,61.51,56.53,91.71,137.19,57.93,37.45,72.41,51.81
