Date,Alipur,Anand Vihar,Ashok Vihar,Aya Nagar,Bawana,Burari Crossing,CRRI Mathura Road,Dr. Karni Singh Shooting Range,DTU,Dwarka-Sector 8,IGI Airport (T3),"IHBAS, Dilshad Garden",ITO,Jahangirpuri,Jawaharlal Nehru Stadium,Lodhi Road,Major Dhyan Chand National Stadium,Mandir Marg,Mundka,Najafgarh,Narela,Nehru Nagar,"North Campus, DU",NSIT Dwarka,Okhla Phase-2,Patparganj,Punjabi Bagh,Pusa,R K Puram,Rohini,Shadipur,Sirifort,Sonia Vihar,Sri Aurobindo Marg,Vivek Vihar,Wazirpur
01-01-2019 00:00,24.92,15.56,19.71,12.85,18.54,24.36,13.97,23.7,17.11,19.42,23.52,11.93,12.07,23.52,23.37,23.37,17.12,5.18,29.01,9.23,9.89,25.9,11.77,30.67,13.97,4.41,21.64,14.54,22.09,26.78,11.77,22.27,12.23,12.85,15.32,24.36
02-01-2019 00:00,24.78,14.59,19.37,11.2,21.16,24.09,12.81,23.57,16.68,20.64,22.56,17.07,11.38,22.56,38.43,38.43,13.7,4.9,28.03,9.43,12.06,29.07,9.19,36.08,12.81,4.28,20.4,12.28,22.18,28.33,9.19,22.04,13.95,11.2,16.14,24.09
03-01-2019 00:00,25.23,9.99,17.15,9.75,16.18,19.07,12.17,23.1,15.39,15.63,18.9,10.58,9.28,18.9,17.99,17.99,11.97,7.05,23.88,7.27,10.16,22.96,7.19,34.19,12.17,3.86,7.12,11.25,16.34,20.41,7.19,21.35,10.34,9.75,12.27,19.07
04-01-2019 00:00,19.08,5.81,14.68,9.3,15.61,15.95,11.42,16.68,11.24,17.34,13.05,4.38,6.92,13.05,23.67,23.67,12.41,6.99,24.46,7.29,9.44,22.96,9.47,17.53,11.42,2.81,22.09,10.22,19.81,20.75,9.47,22.02,8.02,9.3,11.41,15.95
05-01-2019 00:00,22.1,6.63,19.11,8.87,15.43,19.87,10.75,16.4,15.65,17.92,17.32,6.27,7.69,17.32,20.81,20.81,10.64,7.54,25.28,7.54,12.99,19.49,13.92,27.66,10.75,3.29,20.13,9.91,18.71,23.72,13.92,20.89,18.03,8.87,26.19,19.87
06-01-2019 00:00,22.47,5.15,14.78,5.04,14.52,15.86,9.47,14.95,11.97,17.13,16.88,4.73,5.07,16.88,20.55,20.55,10.21,5.1,23.2,8.14,11.45,21.71,4.43,16.91,9.47,3.06,21.33,10.05,15.72,19.82,4.43,20.02,21.7,5.04,18.58,15.86
07-01-2019 00:00,33.5,7.88,20.74,8.32,14.96,15.75,11.84,17.39,14.21,19.58,19.39,6.2,7.76,19.39,25.11,25.11,12.92,5.16,25.81,8.57,16.37,27.13,4.4,18.17,11.84,3.66,22.54,11.39,17.49,19.21,4.4,20.68,12.09,8.32,22.72,15.75
08-01-2019 00:00,25.95,7.22,20.39,6.72,16.14,15.27,9.08,16.12,15.9,18.39,19.59,4.7,6.65,19.59,17.83,17.83,10.95,5.44,26.03,7.19,11.94,20.32,16.4,17.9,9.08,3.57,23.78,11.88,19.84,29.2,16.4,20.25,12,6.72,16.14,15.27
09-01-2019 00:00,25.21,8.46,20.38,7.8,17.67,15.32,10.92,16.28,17.18,20.07,21.74,3.66,7.4,21.74,24.72,24.72,12.27,5.84,27.73,8.37,13.02,23.71,15.16,7.55,10.92,3.05,21.21,11.81,21.76,28.41,15.16,20.59,12.58,7.8,16.7,15.32
10-01-2019 00:00,28.51,10.76,21.1,10.19,19.05,18.83,12.85,20.97,21.77,23.48,24.08,4.63,6.91,24.08,26.16,26.16,14.81,6.4,24.38,6.68,17.27,28.52,16.03,11.13,12.85,5.3,22.34,11.5,28.86,25.46,16.03,19.61,12.59,10.19,19.02,18.83
11-01-2019 00:00,26.1,17.93,20.9,14.25,19.48,21.37,15.3,28.98,24.17,25.32,19.56,13.39,6.851111111,19.56,33.58,33.58,21.92,7.15,28.34,7.22,15.45,35.65,14.45,26.95,15.3,7.45,15.86,11.41,29.61,23.22,14.45,14.01,14.45,14.25,32.76,21.37
12-01-2019 00:00,30.41,14.58,15.89,10.48,17.95,18.94,12.91,23.93,19.29,20.99,17.95,24.8,6.792222222,17.95,28.09,28.09,13.19,6.69,31.76,9.9,17.92,26.33,10.61,28.55,12.91,5.46,10.39,12.72,16.1,16.7,10.61,13.27,10.75,10.48,17.39,18.94
13-01-2019 00:00,26.63,10.23,21.74,7.48,17.81,17.34,11.25,19.13,28.34,20.6,21.01,21.51,6.733333333,21.01,33.82,33.82,12.95,6.29,28.43,9.14,16.38,21.95,11.285,17.25,11.25,5.05,16.61,11.74,20.21,20.79,11.285,11.72,13.25,7.48,27.4,17.34
14-01-2019 00:00,25.52,7.31,20.18,8.01,16.35,14.07,10.51,12.85,15.14,22.82,19.6,6.26,6.674444444,19.6,31.55,31.55,13.42,7.05,27.75,9.97,12.59,22.13,11.96,12.13,10.51,4.5,19.26,11.08,19.02,22.12,11.96,11.06,9.75,8.01,18.16,14.07
15-01-2019 00:00,28.08,9.28,20.53,10.83,20.44,18.21,11.46,12.08333333,16.09,22.35,22.51,5,6.615555556,22.51,36.58,36.58,14.37,6.89,30.7,12.91,13.97,25.85,12.635,12.6,11.46,4.44,24.21,15.29,24.41,24.76,12.635,8.59,13.47,10.83,19.36,18.21
16-01-2019 00:00,29.35,13.75,26.03,13.07,20.03,22.98,15.37,11.31666667,20.35,25.76,26.41,13.11,6.556666667,26.41,42.27,42.27,22.1,7.83,31.38,10.4,19.51,35.87,13.31,10.5,15.37,8.39,20.97,15.27,27.06,28.67,13.31,6.01,20.05,13.07,29.82,22.98
17-01-2019 00:00,32.13,12.42,34.37,12.09,17.25,21.67,14.61,10.55,22.87,26.13,23.37,21.09,6.497777778,23.37,39.96,39.96,15.21,7.44,30.34,16.22,24.73,24.59,5.12,22.83,14.61,5.97,23.26,17.12,23.24,23.35,5.12,8.63,11.56,12.09,24.65,21.67
18-01-2019 00:00,21.68,11.02,24.06,7.43,12.3,17.27,11.2,21.84,14.81,14.41,23.97,9.48,6.438888889,23.97,25.77,25.77,12.1,7.18,27.86,9.48,13.03,22.76,2.89,13.47,11.2,4.25,24.87,10.84,20.07,16.44,2.89,4.36,12.28,7.43,17.95,17.27
19-01-2019 00:00,30.38,13.44,25.93,11.82,17.61,27.54,14.79,23.09,17,21.48,29.23,13.35,6.38,29.23,22.45,22.45,14.26,8.56,32.83,9.24,21.36,26.66,4.63,17.58,14.79,6.55,21.56,11.8,24.01,24.25,4.63,7.2,13.4,11.82,20.21,27.54
20-01-2019 00:00,33.5,18.28,23.11,9.53,17.36,27.85,14.51,41.62,23.17,23.92,24.49,25.81,6.321111111,24.49,18.12,18.12,16.46,7.72,31.37,12.95,20.03,29.75,2.82,44.31,14.51,9.15,19.14,16.33,21.76,21.75,2.82,8.67,17.76,9.53,23.72,27.85
21-01-2019 00:00,26.61,7.33,24.61,6.71,16.07,22.53,8.92,15.78,26.43,18.62,24.65,22.66,6.262222222,24.65,13.28,13.28,10.32,7.08,25.82,9.31,17,15.69,0.65,34.81,8.92,3.58,18.73,8.84,16.02,21.07,0.65,2.63,19.36,6.71,37.34,22.53
22-01-2019 00:00,20.74,5.76,15.24,4.59,10.99,16.45,8.53,13.79,11.93,17.56,11.61,5.91,6.203333333,11.61,14.67,14.67,9.52,6.28,26.04,7.39,8.68,20.21,6.16,24.39,8.53,2.86,21.96,7.17,18.38,7.65,6.16,2.05,8.88,4.59,17.27,16.45
23-01-2019 00:00,25.98,8.31,17.76,5.78,13.91,17.63,10.99,15.57,14.38,19.76,20.17,7.58,6.144444444,20.17,17.67,17.67,13.96,8.37,21.71,7.63,16.46,29.4,12.97,14.88,10.99,4.38,21.92,10.02,19.3,12.88,12.97,4.43,10.93,5.78,18.95,17.63
24-01-2019 00:00,21.56,9.06,18.94,9.11,15.44,17.6,11.59,13.02,15.33,18.66,17.04,8.08,6.085555556,17.04,15.98,15.98,11.96,7.9,39.51,9.05,17.81,26.01,10.61,18.49,11.59,4.75,20.74,12.03,20.1,14.62,10.61,2.33,9.38,9.11,14.69,17.6
25-01-2019 00:00,31.66,6.12,21.54,6.64,15.78,22.6,10.02,10.72,19.72,19.53,18.45,3.82,6.026666667,18.45,16.54,16.54,12.29,7.42,35.13,10.07,18.4,21.4,12.28,15.54,10.02,3.62,16.57,12.02,18.74,19.71,12.28,2.08,11.02,6.64,16.75,22.6
26-01-2019 00:00,24.03,8.23,22.37,6.76,16.21,20.08,10.34,9.64,14.86,23.08,20.22,4.25,5.967777778,20.22,15.73,15.73,14.29,7.29,28.44,8.32,14.46,21.11,14.78,11.14,10.34,4.92,17.86,12.97,18.27,17.16,14.78,2.16,13.99,6.76,18.68,20.08
27-01-2019 00:00,31.28,7.26,27,8.16,15.84,22.81,10.21,16.1,18.31,21.91,22.98,3.49,5.908888889,22.98,14.95,14.95,12.95,7.28,26.49,16.52,16.82,21.71,15.16,7.47,10.21,4.02,23.33,13.52,20.87,30.26,15.16,2.74,14.1,8.16,15.98,22.81
28-01-2019 00:00,34.03,7.24,28.19,9.37,15.31,22.55,10.78,15.76,19.13,20.29,22.48,4.17,5.85,22.48,15.12,15.12,14.47,6.88,26.58,16.58,16.38,21.6,16.72,9.55,10.78,4.56,19.4,15.04,19.54,24.08,16.72,3.21,12.75,9.37,17.65,22.55
29-01-2019 00:00,34.32,12.06,34.24,16.01,19.07,25.34,12.32,19.25,23.13,28.46,27.34,6.63,5.82,27.34,18.18,18.18,17.23,8.1,27.22,18.49,20.79,28.29,17.98,9.19,12.32,5.11,23.58,15.76,26.26,25.44,17.98,4.72,16.47,16.01,19.84,25.34
30-01-2019 00:00,50.45,32.73,35.09,21.93,19.21,40.45,15.47,24.68,29.13,30.87,32.75,13.04,7.26826087,32.75,23.72,23.72,22.93,7.3,28.88,13.39,34.12,37.8,23.44,17.18,15.47,5.65,24.9,17.33,35.84,31.77,23.44,6.61,21.84,21.93,25.84,40.45
31-01-2019 00:00,29.87,21.9,20.23,8.94,14.71,30.64,12.29,17.99,21.06,24.03,26.87,28.26,8.716521739,26.87,18.24,18.24,17.6,6.26,30.31,8.55,14.91,28.62,16.8,24,12.29,5.79,25.81,13.05,19.14,26.24,16.8,5.93,29.81,8.94,40.53,30.64
01-02-2019 00:00,27.1,22.55,21.13,8.48,12.48,27.64,9.52,13.91,12.92,21.79,21.13,14.79,10.16478261,21.13,14.65,14.65,15.09,6.24,30.02,14.2,12.31,26.1,10.66,21.5,9.52,3.79,28.25,12.07,19.92,21,10.66,3.8,16.8,8.48,36.42,27.64
02-02-2019 00:00,21.51,6.38,13.52,4.79,11.05,16.07,8.25,9.95,11.33,16.27,11.62,7.38,11.61304348,11.62,8.25,8.25,11.35,6.62,29.08,9.95,8.65,20.05,10.07,15.13,8.25,1.98,26.84,8.2,17.12,12.04,10.07,2.79,6.42,4.79,11.68,16.07
